REGION_CORTO;COD_COMUNA_FINAL;FECHA_INMUNIZACION;SUM_of_SUM_of_1aDOSIS;SUM_of_SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS
" Coquimbo";4204;20/01/2021;79;;
" Coquimbo";4301;20/01/2021;85;;
" Coquimbo";4302;20/01/2021;30;;
" Coquimbo";4303;20/01/2021;85;;
Libertador B. O'Higgins;6101;20/01/2021;1347;;
Libertador B. O'Higgins;6106;20/01/2021;20;;
Libertador B. O'Higgins;6115;20/01/2021;155;;
Libertador B. O'Higgins;6117;20/01/2021;160;;
Libertador B. O'Higgins;6301;20/01/2021;328;;
Libertador B. O'Higgins;6303;20/01/2021;55;;
Libertador B. O'Higgins;6304;20/01/2021;10;;
Libertador B. O'Higgins;6310;20/01/2021;280;;
" Aisén Gral. C. Ibáñez Campo";11101;20/01/2021;48;;
" Aisén Gral. C. Ibáñez Campo";11201;20/01/2021;65;;
" Aisén Gral. C. Ibáñez Campo";11202;20/01/2021;130;;
" Aisén Gral. C. Ibáñez Campo";11203;20/01/2021;20;;
" Aisén Gral. C. Ibáñez Campo";11303;20/01/2021;10;;
" Arica y Parinacota";15101;20/01/2021;688;;
" Ñuble";16101;20/01/2021;1477;;
" Ñuble";16102;20/01/2021;45;;
" Ñuble";16104;20/01/2021;25;;
" Ñuble";16106;20/01/2021;51;;
" Ñuble";16201;20/01/2021;42;;
" Ñuble";16203;20/01/2021;120;;
" Ñuble";16204;20/01/2021;33;;
" Ñuble";16301;20/01/2021;431;;
" Ñuble";16303;20/01/2021;65;;
" Ñuble";16304;20/01/2021;59;;
" Atacama";3101;21/01/2021;772;;
" Atacama";3102;21/01/2021;79;;
" Atacama";3301;21/01/2021;236;;
" Coquimbo";4101;21/01/2021;90;;
" Coquimbo";4102;21/01/2021;220;;
" Coquimbo";4106;21/01/2021;78;;
" Coquimbo";4201;21/01/2021;35;;
" Coquimbo";4301;21/01/2021;5;;
" Coquimbo";4303;21/01/2021;80;;
Libertador B. O'Higgins;6101;21/01/2021;786;;
Libertador B. O'Higgins;6301;21/01/2021;311;;
Libertador B. O'Higgins;6310;21/01/2021;200;;
" Aisén Gral. C. Ibáñez Campo";11101;21/01/2021;70;;
Metropolitana  Santiago;13101;21/01/2021;16;;
" Arica y Parinacota";15101;21/01/2021;80;;
" Atacama";3101;22/01/2021;146;;
