FECHA_INMUNIZACION;EDAD_ANOS;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_SUM_of_ÚnicaDOSIS;SUM_of_Refuerzo_DOSIS;SUM_of_4aDOSIS
05/07/2021;11;1;;;;
05/07/2021;12;991;;;;
05/07/2021;13;1013;;;;
05/07/2021;14;1082;;;;
05/07/2021;15;1290;;;;
05/07/2021;16;3671;149;;;
05/07/2021;17;6860;196;;;
06/07/2021;11;1;;;;
06/07/2021;12;946;;;;
06/07/2021;13;1045;;;;
06/07/2021;14;1099;3;;;
06/07/2021;15;1214;;;;
06/07/2021;16;4181;181;;;
06/07/2021;17;4492;218;;;
07/07/2021;11;;1;;;
07/07/2021;12;1080;1;;;
07/07/2021;13;1148;;;;
07/07/2021;14;1222;1;;;
07/07/2021;15;1675;2;;;
07/07/2021;16;39676;223;;;
07/07/2021;17;10321;262;;;
08/07/2021;5;;1;;;
08/07/2021;7;;1;;;
08/07/2021;12;1076;;;;
08/07/2021;13;1186;;;;
08/07/2021;14;1146;1;;;
08/07/2021;15;1507;;;;
08/07/2021;16;29238;167;;;
08/07/2021;17;7983;196;;;
09/07/2021;8;;1;;;
09/07/2021;11;1;;;;
09/07/2021;12;1016;1;;;
09/07/2021;13;1077;;;;
09/07/2021;14;1239;;;;
09/07/2021;15;1530;;;;
09/07/2021;16;20475;155;;;
09/07/2021;17;7123;167;;;
10/07/2021;10;1;;;;
10/07/2021;11;1;;;;
10/07/2021;12;281;;;;
10/07/2021;13;290;;;;
10/07/2021;14;313;;;;
10/07/2021;15;413;1;;;
10/07/2021;16;3147;30;;;
10/07/2021;17;1281;33;;;
11/07/2021;12;17;;;;
11/07/2021;13;25;;;;
11/07/2021;14;25;;;;
11/07/2021;15;35;;;;
11/07/2021;16;279;;;;
11/07/2021;17;129;1;;;
12/07/2021;6;1;;;;
12/07/2021;8;;1;;;
12/07/2021;12;938;;;;
12/07/2021;13;998;3;;;
12/07/2021;14;1133;;;;
12/07/2021;15;3767;2;;;
12/07/2021;16;14458;140;;;
12/07/2021;17;6480;145;;;
13/07/2021;12;967;4;;;
13/07/2021;13;1071;2;;;
13/07/2021;14;1468;1;;;
13/07/2021;15;48637;4;;;
13/07/2021;16;6413;103;;;
13/07/2021;17;3093;120;;;
14/07/2021;7;1;1;;;
14/07/2021;12;928;1;;;
14/07/2021;13;986;3;;;
14/07/2021;14;1318;3;;;
14/07/2021;15;31008;6;;;
14/07/2021;16;4209;112;;;
14/07/2021;17;2240;123;;;
15/07/2021;7;1;;;;
15/07/2021;9;1;;;;
15/07/2021;11;1;;;;
15/07/2021;12;728;7;;;
15/07/2021;13;790;11;;;
15/07/2021;14;1010;9;;;
15/07/2021;15;10940;9;;;
15/07/2021;16;6145;96;;;
15/07/2021;17;3338;136;;;
16/07/2021;12;24;3;;;
16/07/2021;13;27;2;;;
16/07/2021;14;31;3;;;
16/07/2021;15;320;;;;
16/07/2021;16;152;6;;;
16/07/2021;17;92;8;;;
17/07/2021;12;116;3;;;
17/07/2021;13;121;6;;;
17/07/2021;14;146;11;;;
17/07/2021;15;1252;9;;;
17/07/2021;16;659;16;;;
17/07/2021;17;334;39;;;
18/07/2021;12;7;1;;;
18/07/2021;13;15;1;;;
18/07/2021;14;9;;;;
18/07/2021;15;85;1;;;
18/07/2021;16;29;;;;
18/07/2021;17;27;;;;
19/07/2021;4;;1;;;
19/07/2021;8;;2;;;
19/07/2021;9;1;;;;
19/07/2021;11;2;;;;
19/07/2021;12;728;151;;;
19/07/2021;13;861;159;;;
19/07/2021;14;2893;203;;;
19/07/2021;15;11953;232;;;
19/07/2021;16;6070;255;;;
19/07/2021;17;3521;263;;;
20/07/2021;11;1;;;;
20/07/2021;12;686;687;;;
20/07/2021;13;717;728;;;
20/07/2021;14;3116;812;;;
20/07/2021;15;9668;974;;;
20/07/2021;16;5016;673;;;
20/07/2021;17;3100;731;;;
21/07/2021;7;;1;;;
21/07/2021;12;595;770;;;
21/07/2021;13;671;896;;;
21/07/2021;14;3041;925;;;
21/07/2021;15;6976;1084;;;
21/07/2021;16;3846;710;;;
21/07/2021;17;2347;774;;;
22/07/2021;8;;1;;;
22/07/2021;9;1;;;;
22/07/2021;12;464;629;;;
22/07/2021;13;643;659;;;
22/07/2021;14;18570;725;;;
22/07/2021;15;2106;741;;;
22/07/2021;16;1120;535;;;
22/07/2021;17;764;616;;;
23/07/2021;12;786;1504;;;
23/07/2021;13;1119;1519;;;
23/07/2021;14;36895;1704;;;
23/07/2021;15;3980;1753;;;
23/07/2021;16;1826;1248;;;
23/07/2021;17;1228;1335;;;
24/07/2021;12;195;144;;;
24/07/2021;13;280;147;;;
24/07/2021;14;2721;155;;;
24/07/2021;15;1239;178;;;
24/07/2021;16;746;133;;;
24/07/2021;17;528;111;;;
25/07/2021;12;10;9;;;
25/07/2021;13;5;10;;;
25/07/2021;14;166;7;;;
25/07/2021;15;76;10;;;
25/07/2021;16;46;2;;;
25/07/2021;17;43;7;;;
26/07/2021;9;;1;;;
26/07/2021;11;1;;;;
26/07/2021;12;833;711;;;
26/07/2021;13;1166;712;;;
26/07/2021;14;4417;801;;;
26/07/2021;15;1458;871;;;
26/07/2021;16;817;645;;;
26/07/2021;17;578;1132;;;
27/07/2021;6;;1;;;
27/07/2021;8;2;;;;
27/07/2021;9;;1;;;
27/07/2021;11;2;;;;
27/07/2021;12;751;928;;;
27/07/2021;13;966;1036;;;
27/07/2021;14;1969;1029;;;
27/07/2021;15;912;1169;;;
27/07/2021;16;551;920;;;
27/07/2021;17;308;2476;;;
28/07/2021;6;1;;;;
28/07/2021;10;1;;;;
28/07/2021;11;1;1;;;
28/07/2021;12;729;716;;;
28/07/2021;13;865;764;;;
28/07/2021;14;1101;847;;;
28/07/2021;15;586;907;;;
28/07/2021;16;375;753;;;
28/07/2021;17;280;2906;;;
29/07/2021;12;1026;1445;;;
29/07/2021;13;1168;1581;;;
29/07/2021;14;1752;1619;;;
29/07/2021;15;780;1674;;;
29/07/2021;16;456;1713;;;
29/07/2021;17;356;36975;;;
30/07/2021;6;1;;;;
30/07/2021;8;2;;;;
30/07/2021;12;1055;1407;;;
30/07/2021;13;1291;1448;;;
30/07/2021;14;1826;1468;;;
30/07/2021;15;751;1554;;;
30/07/2021;16;463;1625;;;
30/07/2021;17;343;30542;;;
31/07/2021;12;86;165;;;
31/07/2021;13;114;193;;;
31/07/2021;14;144;210;;;
31/07/2021;15;90;216;;;
31/07/2021;16;58;221;;;
31/07/2021;17;45;2355;;;
01/08/2021;12;2;13;;;
01/08/2021;13;3;5;;;
01/08/2021;14;1;6;;;
01/08/2021;15;1;19;;;
01/08/2021;16;2;13;;;
01/08/2021;17;;90;;;
02/08/2021;11;1;;;;
02/08/2021;12;42;165;;;
02/08/2021;13;76;174;;;
02/08/2021;14;98;177;;;
02/08/2021;15;67;248;;;
02/08/2021;16;52;525;;;
02/08/2021;17;49;1153;;;
03/08/2021;11;1;;;;
03/08/2021;12;56;169;;;
03/08/2021;13;77;206;;;
03/08/2021;14;83;205;;;
03/08/2021;15;57;227;;;
03/08/2021;16;60;725;;;
03/08/2021;17;38;880;;;
04/08/2021;9;;1;;;
04/08/2021;12;119;979;;;
04/08/2021;13;113;977;;;
04/08/2021;14;103;995;;;
04/08/2021;15;74;1206;;;
04/08/2021;16;73;9102;;;
04/08/2021;17;55;6298;;;
05/08/2021;11;1;;;;
05/08/2021;12;104;654;;;
05/08/2021;13;125;731;;;
05/08/2021;14;69;720;;;
05/08/2021;15;57;885;;;
05/08/2021;16;45;9001;;;
05/08/2021;17;26;4501;;;
06/08/2021;12;130;508;;;
06/08/2021;13;135;526;;;
06/08/2021;14;104;560;;;
06/08/2021;15;67;765;;;
06/08/2021;16;51;6785;;;
06/08/2021;17;33;3476;;;
07/08/2021;12;;15;;;
07/08/2021;13;2;14;;;
07/08/2021;14;13;23;;;
07/08/2021;15;11;32;;;
07/08/2021;16;6;165;;;
07/08/2021;17;4;100;;;
08/08/2021;14;;1;;;
08/08/2021;16;;1;;;
09/08/2021;12;48;192;;;
09/08/2021;13;53;162;;;
09/08/2021;14;46;225;;;
09/08/2021;15;22;747;;;
09/08/2021;16;16;1626;;;
09/08/2021;17;24;818;;;
10/08/2021;12;29;168;;;
10/08/2021;13;43;194;;;
10/08/2021;14;38;219;;;
10/08/2021;15;28;2658;;;
10/08/2021;16;26;1021;;;
10/08/2021;17;22;608;;;
11/08/2021;6;1;;;;
11/08/2021;11;;1;;;
11/08/2021;12;41;2168;;;
11/08/2021;13;50;2329;;;
11/08/2021;14;40;2625;;;
11/08/2021;15;40;13187;;;
11/08/2021;16;37;34578;;7;
11/08/2021;17;27;16655;;5;
12/08/2021;9;1;;;;
12/08/2021;11;;1;;;
12/08/2021;12;28;1328;;;
12/08/2021;13;51;1533;;;
12/08/2021;14;33;1691;;1;
12/08/2021;15;38;7265;;;
12/08/2021;16;16;21319;;9;
12/08/2021;17;21;10526;;11;
13/08/2021;12;29;741;;;
13/08/2021;13;27;759;;;
13/08/2021;14;34;980;;;
13/08/2021;15;19;3563;;;
13/08/2021;16;24;12411;;4;
13/08/2021;17;21;6798;;7;
14/08/2021;12;5;25;;;
14/08/2021;13;6;36;;;
14/08/2021;14;3;39;;;
14/08/2021;15;2;114;;;
14/08/2021;16;6;99;;;
14/08/2021;17;3;75;;;
15/08/2021;12;;1;;;
15/08/2021;13;1;;;;
15/08/2021;14;1;1;;;
15/08/2021;15;;4;;;
15/08/2021;16;;1;;;
15/08/2021;17;1;2;;;
