"fecha";"region";"r.estimado";"r.liminf";"r.lisup"
"2021-03-04";4;1.08461918242853;0.985383167941732;1.18385519691532
"2021-03-05";4;1.09521532749522;0.998808004304423;1.19162265068601
"2021-03-06";4;1.08779179677902;0.993682586312963;1.18190100724509
"2021-03-07";4;1.09337246352257;1.00059434837441;1.18615057867073
"2021-03-08";4;1.06613063923699;0.969453986425592;1.16280729204838
"2021-03-09";4;1.06478863596972;0.972024696531907;1.15755257540754
"2021-03-10";4;1.04658873227351;0.958857809295452;1.13431965525156
"2021-03-11";4;1.03219419139331;0.947821411728046;1.11656697105857
"2021-03-12";4;1.01386809787141;0.933065488393281;1.09467070734955
"2021-03-13";4;1.02668173076778;0.946503662455425;1.10685979908013
"2021-03-14";4;1.01300590057417;0.93251725458295;1.09349454656539
"2021-03-15";4;1.0351568971868;0.95359578411634;1.11671801025726
"2021-03-16";4;1.03263093795522;0.949977430560786;1.11528444534965
"2021-03-17";4;1.02489151060084;0.945917177785631;1.10386584341606
"2021-03-18";4;1.02340114477196;0.947617870780989;1.09918441876294
"2021-03-19";4;1.03660454373886;0.960734979467119;1.11247410801061
"2021-03-20";4;1.00745590985192;0.933481324871154;1.08143049483268
"2021-03-21";4;0.995898212831922;0.920956353975744;1.0708400716881
"2021-03-22";4;0.953677688704414;0.877868819137635;1.02948655827119
"2021-03-23";4;0.941784428329892;0.865979267556381;1.0175895891034
"2021-03-24";4;0.965023198250052;0.884646038187496;1.04540035831261
"2021-03-25";4;0.972965710319631;0.89326308058574;1.05266834005352
"2021-03-26";4;0.977373991683582;0.898137649134589;1.05661033423257
"2021-03-27";4;0.964402236554592;0.887313678548161;1.04149079456102
"2021-03-28";4;0.967502650777723;0.888984860664872;1.04602044089057
"2021-03-29";4;0.988153834229859;0.906130589694821;1.0701770787649
"2021-03-30";4;0.986641617484303;0.908313661625884;1.06496957334272
"2021-03-31";4;0.964544276554815;0.883827976362494;1.04526057674714
"2021-04-01";4;0.965586847350654;0.884554913730249;1.04661878097106
"2021-04-02";4;0.916669083556502;0.837619518985379;0.995718648127625
"2021-04-03";4;0.920308457148023;0.839238318057373;1.00137859623867
"2021-04-04";4;0.925949799474075;0.843552134340425;1.00834746460772
"2021-04-05";4;0.937758438413048;0.850694492855599;1.0248223839705
"2021-04-06";4;0.947472870872564;0.861256409770922;1.03368933197421
"2021-04-07";4;0.948427343340412;0.862567424756019;1.0342872619248
"2021-04-08";4;0.933939589646654;0.846592491160148;1.02128668813316
"2021-04-09";4;0.958282589663139;0.865160425754253;1.05140475357202
"2021-04-10";4;0.974786710410668;0.885044617309262;1.06452880351208
"2021-04-11";4;0.987002380871819;0.899377486211984;1.07462727553165
"2021-04-12";4;0.984046360405685;0.897408118324295;1.07068460248708
"2021-04-13";4;0.970596765231285;0.882723146604895;1.05847038385768
"2021-04-14";4;0.976464202699512;0.889043611030268;1.06388479436876
"2021-04-15";4;0.989723051250788;0.900152170658456;1.07929393184312
"2021-04-16";4;0.989555367765379;0.899739483544053;1.07937125198671
"2021-04-17";4;0.99942407411018;0.910907446885695;1.08794070133467
"2021-04-18";4;0.993727335280101;0.909201349162174;1.07825332139803
"2021-04-19";4;0.976904034465289;0.890427477584658;1.06338059134592
"2021-04-20";4;0.984003304868023;0.897144641221265;1.07086196851478
"2021-04-21";4;0.981908855238705;0.894445063970163;1.06937264650725
"2021-04-22";4;0.987121658751721;0.895734383498578;1.07850893400486
"2021-04-23";4;1.00863292206681;0.916425217376724;1.1008406267569
"2021-04-24";4;0.995381900401171;0.907133619573753;1.08363018122859
"2021-04-25";4;1.00032456993737;0.91336652776437;1.08728261211036
"2021-04-26";4;0.997940679661221;0.909789232952764;1.08609212636968
"2021-04-27";4;0.99599467210297;0.906867501781985;1.08512184242395
"2021-04-28";4;1.00256558403521;0.917434924542904;1.08769624352752
"2021-04-29";4;0.97884877042356;0.894521140131247;1.06317640071587
"2021-04-30";4;0.961132798355856;0.878582347464901;1.04368324924681
"2021-05-01";4;0.962502187870596;0.878720038031708;1.04628433770949
"2021-05-02";4;0.959565018804742;0.877081614334453;1.04204842327503
"2021-05-03";4;0.982115926326903;0.89592939884478;1.06830245380903
"2021-05-04";4;0.991633200676004;0.902357900218596;1.08090850113341
"2021-05-05";4;1.00389001771418;0.913204454806357;1.094575580622
"2021-05-06";4;1.03123840199862;0.938466280428482;1.12401052356876
"2021-05-07";4;1.04545955011062;0.95088050981244;1.14003859040881
"2021-05-08";4;1.03643725935908;0.942782597350488;1.13009192136767
"2021-05-09";4;1.03694929629471;0.946678871875157;1.12721972071426
"2021-05-10";4;1.05418827484164;0.96196975939713;1.14640679028616
"2021-05-11";4;1.04618330984147;0.952156376777079;1.14021024290585
"2021-05-12";4;1.04715239032922;0.957629074963114;1.13667570569532
"2021-05-13";4;1.05671328302767;0.967955216630715;1.14547134942462
"2021-05-14";4;1.06448973188864;0.969218713800703;1.15976074997658
"2021-05-15";4;1.07228986654474;0.976060443774394;1.1685192893151
"2021-05-16";4;1.07238370647473;0.979550167695228;1.16521724525423
"2021-05-17";4;1.10557758649906;1.00839067986446;1.20276449313367
"2021-05-18";4;1.1262929018467;1.02213219048492;1.23045361320848
"2021-05-19";4;1.1284327613495;1.02400570060647;1.23285982209253
"2021-05-20";4;1.12141594556786;1.0180328223002;1.22479906883552
"2021-05-21";4;1.09200132008016;0.994522671979487;1.18947996818083
"2021-05-22";4;1.10326947924401;1.012381155477;1.19415780301101
"2021-05-23";4;1.11530515735;1.02433737529288;1.20627293940712
"2021-05-24";4;1.09504367480988;1.00060549364066;1.18948185597911
"2021-05-25";4;1.10062514959336;1.00707152290617;1.19417877628055
"2021-05-26";4;1.08444287232399;0.994342102103428;1.17454364254454
"2021-05-27";4;1.07821840111737;0.99070123718684;1.16573556504791
"2021-05-28";4;1.10062557705074;1.01550617720231;1.18574497689917
"2021-05-29";4;1.09721961582066;1.01189554772214;1.18254368391919
"2021-05-30";4;1.06417336586282;0.980091326301279;1.14825540542436
"2021-05-31";4;1.0745060371358;0.99103280015083;1.15797927412078
"2021-06-01";4;1.09280442927812;1.00761408290758;1.17799477564867
"2021-06-02";4;1.10129012789243;1.01878679181231;1.18379346397255
"2021-06-03";4;1.10901892587884;1.02351852099198;1.1945193307657
"2021-06-04";4;1.09866134942672;1.01233763963961;1.18498505921382
"2021-06-05";4;1.07444766486435;0.989895060980758;1.15900026874795
"2021-06-06";4;1.07453230834533;0.995245468583976;1.15381914810669
"2021-06-07";4;1.05930335519791;0.982310901260308;1.1362958091355
"2021-06-08";4;1.027991494778;0.953966420228157;1.10201656932785
"2021-06-09";4;1.01719585319786;0.946076145598198;1.08831556079753
"2021-06-10";4;1.00006079205227;0.928409599057648;1.0717119850469
"2021-06-11";4;1.00552824417028;0.9311379801264;1.07991850821416
"2021-06-12";4;1.00235894634625;0.930022094353942;1.07469579833856
"2021-06-13";4;0.988736621235958;0.920237517892855;1.05723572457906
"2021-06-14";4;0.967486093062758;0.90102704713473;1.03394513899078
"2021-06-15";4;0.958153111079684;0.889929211040507;1.02637701111886
"2021-06-16";4;0.953276977558058;0.884568211697683;1.02198574341843
"2021-06-17";4;0.95298451919723;0.881657287334642;1.02431175105982
"2021-06-18";4;0.926094557168719;0.853891017659048;0.998298096678391
"2021-06-19";4;0.912679903390205;0.839035971093058;0.986323835687351
"2021-06-20";4;0.903842059346829;0.829732362815963;0.977951755877695
"2021-06-21";4;0.856618917597926;0.780977832282003;0.932260002913849
"2021-06-22";4;0.831592001559082;0.749248505151184;0.913935497966981
