"semana_epidemiologica","grupo_edad","tasa_incidencia","tasa_incidencia_categoria"
31,"40 - 49 años",86.4610543360372,"(70, 150]"
31,"50 - 59 años",92.5355109770408,"(70, 150]"
31,"60 - 69 años",76.829183116205,"(70, 150]"
31,"70 - 79 años",69.7972470200787,"(35, 70]"
31,"80 años o más",82.1090129728583,"(70, 150]"
32,"00 - 09 años",26.9738095228467,"(7, 35]"
32,"10 - 19 años",36.5892629520645,"(35, 70]"
32,"20 - 29 años",89.1561309149612,"(70, 150]"
32,"30 - 39 años",91.210446746459,"(70, 150]"
32,"40 - 49 años",87.1484655454226,"(70, 150]"
32,"50 - 59 años",88.3581212886108,"(70, 150]"
32,"60 - 69 años",68.3480395254551,"(35, 70]"
32,"70 - 79 años",71.0006478307698,"(70, 150]"
32,"80 años o más",75.8914039726864,"(70, 150]"
33,"00 - 09 años",22.1613907324137,"(7, 35]"
33,"10 - 19 años",33.4213613977732,"(7, 35]"
33,"20 - 29 años",78.1288401489105,"(70, 150]"
33,"30 - 39 años",80.6214581730003,"(70, 150]"
33,"40 - 49 años",73.8585154973038,"(70, 150]"
33,"50 - 59 años",76.2901066331463,"(70, 150]"
33,"60 - 69 años",64.3569131298081,"(35, 70]"
33,"70 - 79 años",62.6771255568236,"(35, 70]"
33,"80 años o más",72.5997286196542,"(70, 150]"
34,"00 - 09 años",21.9187477681902,"(7, 35]"
34,"10 - 19 años",33.5401577060591,"(7, 35]"
34,"20 - 29 años",81.4920021420755,"(70, 150]"
34,"30 - 39 años",85.0087961177667,"(70, 150]"
34,"40 - 49 años",72.4836930785329,"(70, 150]"
34,"50 - 59 años",77.3450030191135,"(70, 150]"
34,"60 - 69 años",67.3502579265433,"(35, 70]"
34,"70 - 79 años",62.0754251514781,"(35, 70]"
34,"80 años o más",72.5997286196542,"(70, 150]"
35,"00 - 09 años",23.2128435773823,"(7, 35]"
35,"10 - 19 años",34.0945404780601,"(7, 35]"
35,"20 - 29 años",85.2108831922099,"(70, 150]"
35,"30 - 39 años",84.6789210843256,"(70, 150]"
35,"40 - 49 años",73.8585154973038,"(70, 150]"
35,"50 - 59 años",81.9021554064917,"(70, 150]"
35,"60 - 69 años",67.5719871707459,"(35, 70]"
35,"70 - 79 años",62.5768421559327,"(35, 70]"
35,"80 años o más",79.9145627375035,"(70, 150]"
36,"00 - 09 años",23.7385699998665,"(7, 35]"
36,"10 - 19 años",36.0348801800635,"(35, 70]"
36,"20 - 29 años",85.0168546156811,"(70, 150]"
36,"30 - 39 años",85.0747711244549,"(70, 150]"
36,"40 - 49 años",75.5770435207675,"(70, 150]"
36,"50 - 59 años",78.3998994050806,"(70, 150]"
36,"60 - 69 años",67.07309637129,"(35, 70]"
36,"70 - 79 años",72.0034818396789,"(70, 150]"
36,"80 años o más",76.4400165315251,"(70, 150]"
37,"00 - 09 años",21.9187477681902,"(7, 35]"
37,"10 - 19 años",37.2624420323514,"(35, 70]"
37,"20 - 29 años",81.2009592772824,"(70, 150]"
37,"30 - 39 años",84.0191710174435,"(70, 150]"
37,"40 - 49 años",72.8273986832256,"(70, 150]"
37,"50 - 59 años",77.4293947299908,"(70, 150]"
