"codigo_region","region_residencia","semana_epidemiologica","grupo_edad","tasa_incidencia","tasa_incidencia_categoria"
"01","Región de Tarapacá",43,"40 - 49 años",93.3317447078915,"(70, 150]"
"01","Región de Tarapacá",43,"50 - 59 años",66.9137327568458,"(35, 70]"
"01","Región de Tarapacá",43,"60 - 69 años",46.418624580447,"(35, 70]"
"01","Región de Tarapacá",43,"70 - 79 años",62.0876988746605,"(35, 70]"
"01","Región de Tarapacá",43,"80 años o más",65.0300764103398,"(35, 70]"
"01","Región de Tarapacá",44,"00 - 09 años",16.8662506324844,"(7, 35]"
"01","Región de Tarapacá",44,"10 - 19 años",49.6241430645665,"(35, 70]"
"01","Región de Tarapacá",44,"20 - 29 años",93.0191353649894,"(70, 150]"
"01","Región de Tarapacá",44,"30 - 39 años",86.0347211553234,"(70, 150]"
"01","Región de Tarapacá",44,"40 - 49 años",81.4170538941181,"(70, 150]"
"01","Región de Tarapacá",44,"50 - 59 años",64.3401276508133,"(35, 70]"
"01","Región de Tarapacá",44,"60 - 69 años",74.9839320145683,"(70, 150]"
"01","Región de Tarapacá",44,"70 - 79 años",31.0438494373302,"(7, 35]"
"01","Región de Tarapacá",45,"00 - 09 años",11.8063754427391,"(7, 35]"
"01","Región de Tarapacá",45,"10 - 19 años",55.1379367384072,"(35, 70]"
"01","Región de Tarapacá",45,"20 - 29 años",129.931490668557,"(70, 150]"
"01","Región de Tarapacá",45,"30 - 39 años",107.543401444154,"(70, 150]"
"01","Región de Tarapacá",45,"40 - 49 años",85.3886174987092,"(70, 150]"
"01","Región de Tarapacá",45,"50 - 59 años",56.6193123327157,"(35, 70]"
"01","Región de Tarapacá",45,"60 - 69 años",74.9839320145683,"(70, 150]"
"01","Región de Tarapacá",45,"70 - 79 años",38.8048117966628,"(35, 70]"
"01","Región de Tarapacá",45,"80 años o más",32.5150382051699,"(7, 35]"
"01","Región de Tarapacá",46,"00 - 09 años",8.4331253162422,"(7, 35]"
"01","Región de Tarapacá",46,"10 - 19 años",33.0827620430443,"(7, 35]"
"01","Región de Tarapacá",46,"20 - 29 años",100.401606425703,"(70, 150]"
"01","Región de Tarapacá",46,"30 - 39 años",87.5710554616685,"(70, 150]"
"01","Región de Tarapacá",46,"40 - 49 años",73.4739266849359,"(70, 150]"
