"fecha";"region";"provincia";"carga.estimada";"carga.liminf";"carga.lisup"
"2021-08-28";8;83;1.52471070651622;0.70271330005976;2.8344738153671
"2021-08-29";8;83;1.54478822937507;0.472412302561183;2.84037896914912
"2021-08-30";8;83;2.21679472976835;0.944824605122367;4.25761587683267
"2021-08-31";8;83;2.29592379044735;0.708618453841775;4.02140972555207
"2021-09-01";8;83;2.62425034072737;1.18103075640296;4.48791687433124
"2021-09-02";8;83;2.74471547788047;1.41723690768355;4.48791687433124
"2021-09-03";8;83;2.52740581870233;0.944824605122367;4.48791687433124
"2021-09-04";8;83;2.54039715702276;0.944824605122367;4.48791687433124
"2021-09-05";8;83;2.43292335819009;0.944824605122367;4.02140972555207
"2021-09-06";8;83;3.55726463828571;1.65344305896414;5.43864663323562
"2021-09-07";8;83;3.88913428083494;2.11995020774331;5.91105893579681
"2021-09-08";8;83;4.26352103061468;2.36206151280592;6.85588354091917
"2021-09-09";8;83;4.46902038222879;2.36206151280592;7.32239068969834
"2021-09-10";8;83;4.49972718189527;2.59826766408651;6.84997838713716
"2021-09-11";8;83;4.5528735659334;2.36206151280592;6.85588354091917
"2021-09-12";8;83;4.71349374880421;2.36206151280592;7.32829584348036
"2021-09-13";8;83;7.24089956750654;4.24580556926864;10.393070656346
"2021-09-14";8;83;6.41063494575526;4.01550457177006;9.68445220250426
"2021-09-15";8;83;6.81100437217586;4.25171072305065;10.1568645050654
"2021-09-16";8;83;6.72360809620204;4.24580556926864;9.68445220250426
"2021-09-17";8;83;5.94530882773249;3.30688611792828;8.73962759738189
"2021-09-18";8;83;5.89216244369436;3.53718711542686;8.50932659988332
"2021-09-19";8;83;5.63705980031132;3.30098096414627;8.26721529482071
"2021-09-20";8;83;8.09950892741149;4.96032917689242;11.3438004152504
"2021-09-21";8;83;7.72748423914456;4.96032917689242;11.574101412749
"2021-09-22";8;83;7.42868345777461;4.72412302561183;10.6292768076266
"2021-09-23";8;83;6.82045261822708;4.25171072305065;9.45415120500568
"2021-09-24";8;83;5.28747469641604;3.06477481286568;8.73962759738189
"2021-09-25";8;83;4.32021050692202;2.3561563590239;6.61377223585657
"2021-09-26";8;83;4.01196147950085;2.3561563590239;5.91105893579681
"2021-09-27";8;83;5.00402731487933;3.06477481286568;7.55859684097893
