"fecha";"region";"provincia";"prob72.estimado";"prob72.linf";"prob72.lsup"
2020-08-30;"04";"043";0.307574950771296;0.226677083134208;0.388406636302526
2020-09-06;"04";"043";0.180940621128755;0.0863888001248858;0.3192336417839
2020-03-08;"05";"051";0.106167490077345;0.0347415113380963;0.203553689898517
2020-03-15;"05";"051";0.106167490077345;0.0347415113380963;0.203553689898517
2020-03-22;"05";"051";0.105910835282882;0.0320429419713897;0.208277677287116
2020-03-29;"05";"051";0.109833639661407;0.0425277327564963;0.200308737811894
2020-04-05;"05";"051";0.239066115004849;0.131860418427577;0.359700449499342
2020-04-12;"05";"051";0.10510157986802;0.0332777838636004;0.20427546119061
2020-04-19;"05";"051";0.255405892242187;0.153329046509572;0.369476319572655
2020-04-26;"05";"051";0.291476416095598;0.197890233999663;0.394398527716824
2020-05-03;"05";"051";0.198743137612416;0.145431750840893;0.25868537993772
2020-05-10;"05";"051";0.190679124653481;0.14891104813243;0.235386237008168
2020-05-17;"05";"051";0.149947288107772;0.117047775837464;0.185767000327399
2020-05-24;"05";"051";0.105589329116429;0.0804459149207179;0.133382786333088
2020-05-31;"05";"051";0.193922181255859;0.16456201755887;0.22562762198127
2020-06-07;"05";"051";0.24675169334415;0.216806372541647;0.277881472441749
2020-06-14;"05";"051";0.296533092159063;0.263946716312619;0.329894781605342
2020-06-21;"05";"051";0.275244643164472;0.242771953383859;0.30974992981441
2020-06-28;"05";"051";0.34441076891646;0.306955181566433;0.381798426583371
2020-07-05;"05";"051";0.374418203768971;0.333952329502912;0.416431699448847
2020-07-12;"05";"051";0.443376476766373;0.399851456172109;0.487796384559607
2020-07-19;"05";"051";0.458184199278603;0.413465166253509;0.503855231964841
2020-07-26;"05";"051";0.385316362938475;0.339969009736972;0.432509825229754
2020-08-02;"05";"051";0.368703763199356;0.321028371419547;0.417319920718829
2020-08-09;"05";"051";0.453593184367107;0.408182455821111;0.498774110028694
2020-08-16;"05";"051";0.378055883459416;0.326846466233691;0.423907580769399
2020-08-23;"05";"051";0.292655170960083;0.238474560708324;0.339097339541022
2020-08-30;"05";"051";0.307592836917948;0.232286316773257;0.372432051502954
2020-09-06;"05";"051";0.431694170900329;0.286348700351203;0.589908709179798
2020-03-08;"05";"052";0.162365076673567;0.0519256861005134;0.309984921549926
2020-03-15;"05";"052";0.162365076673567;0.0519256861005134;0.309984921549926
2020-03-22;"05";"052";0.253920344218801;0.0121569352220041;0.597550518837531
2020-03-29;"05";"052";0.258750838957218;0.0324392459139452;0.612361262511467
2020-04-05;"05";"052";0.471146937649694;0.134748503439898;0.812654088787208
2020-04-12;"05";"052";0.199477952596766;0.0032330238868555;0.652618742812278
2020-04-19;"05";"052";0.478355378551465;0.0564562398366515;0.8616715120058
2020-04-26;"05";"052";0.142882565102299;0.00134462044058764;0.515347387408852
2020-05-03;"05";"052";0.462538410449116;0.0303723963480061;0.843038991033384
2020-05-10;"05";"052";0.12546178127323;0.000765201159400506;0.527837978301838
2020-05-17;"05";"052";0.410085722884305;0.0172772153550135;0.836236461329732
2020-05-24;"05";"052";0.121288070677178;0.000589838859945611;0.562700124038285
