"fecha";"region";"servicio.salud";"r.estimado";"r.liminf";"r.lisup"
"2020-07-15";8;81012;1.19954629853306;0.971815857944275;1.42727673912185
"2020-07-16";8;81012;1.24036512954871;0.99830325459781;1.48242700449962
"2020-07-17";8;81012;1.25316003741588;1.00655671833133;1.49976335650043
"2020-07-18";8;81012;1.27775525853931;1.03948288037076;1.51602763670786
"2020-07-19";8;81012;1.25096679584585;1.01109432119978;1.49083927049193
"2020-07-20";8;81012;1.29323366150426;1.04918898899407;1.53727833401445
"2020-07-21";8;81012;1.28554964464296;1.04196668116233;1.52913260812359
"2020-07-22";8;81012;1.24442819068549;1.01047364965178;1.4783827317192
"2020-07-23";8;81012;1.19228169944246;0.982198639102921;1.402364759782
"2020-07-24";8;81012;1.15320908666981;0.96532517544554;1.34109299789408
"2020-07-25";8;81012;1.10699667524247;0.931586472555478;1.28240687792947
"2020-07-26";8;81012;1.06825289402553;0.906093002045478;1.23041278600557
"2020-07-27";8;81012;1.0170361461454;0.871709033722693;1.16236325856812
"2020-07-28";8;81012;0.974524962759407;0.827339518380627;1.12171040713819
"2020-07-29";8;81012;0.93381850293129;0.785357975920844;1.08227902994173
"2020-07-30";8;81012;0.916729999397601;0.767983822092833;1.06547617670237
"2020-07-31";8;81012;0.906962641974579;0.750912829289537;1.06301245465962
"2020-08-01";8;81012;0.93948540987408;0.782040698151821;1.09693012159634
"2020-08-02";8;81012;0.980764151749321;0.827441955252755;1.13408634824589
"2020-08-03";8;81012;1.0178767935263;0.851739332707084;1.18401425434552
"2020-08-04";8;81012;1.03352336616254;0.865247002800942;1.20179972952413
"2020-08-05";8;81012;1.06458313689998;0.91022007972187;1.21894619407809
"2020-08-06";8;81012;1.10107101846293;0.945619205582171;1.25652283134368
"2020-08-07";8;81012;1.12729794080076;0.978256434188086;1.27633944741344
"2020-08-08";8;81012;1.0976273825459;0.937782525022457;1.25747224006934
"2020-08-09";8;81012;1.08013412607307;0.924288877818756;1.23597937432738
"2020-08-10";8;81012;1.06907218465451;0.906896444219991;1.23124792508903
"2020-08-11";8;81012;1.07375906316182;0.916054418439789;1.23146370788384
"2020-08-12";8;81012;1.07904779145929;0.912255170566604;1.24584041235198
"2020-08-13";8;81012;1.06775397884614;0.904524251177268;1.23098370651501
"2020-08-14";8;81012;1.06216621900929;0.911164378738347;1.21316805928023
"2020-08-15";8;81012;1.05272770878884;0.909293476902657;1.19616194067503
"2020-08-16";8;81012;1.05268625992167;0.912372061971064;1.19300045787227
"2020-08-17";8;81012;1.04688074055425;0.906208846025757;1.18755263508273
"2020-08-18";8;81012;1.0611999348447;0.925368884812976;1.19703098487642
"2020-08-19";8;81012;1.05570002500611;0.91796343809107;1.19343661192115
"2020-08-20";8;81012;1.05533349277384;0.919750398693381;1.19091658685431
"2020-08-21";8;81012;1.061627622838;0.915987994813929;1.20726725086206
"2020-08-22";8;81012;1.09784058125451;0.947406000119118;1.24827516238991
"2020-08-23";8;81012;1.11108569295786;0.948166358285114;1.27400502763061
"2020-08-24";8;81012;1.12430765655518;0.955311635459828;1.29330367765053
"2020-08-25";8;81012;1.12759298896825;0.975976728620591;1.27920924931591
"2020-08-26";8;81012;1.14506081870192;0.990102797664197;1.30001883973964
"2020-08-27";8;81012;1.12388476776306;0.966787258374648;1.28098227715148
"2020-08-28";8;81012;1.1119090211287;0.95672472123639;1.26709332102102
"2020-08-29";8;81012;1.06389220067904;0.919825131209506;1.20795927014858
"2020-08-30";8;81012;1.02019959470152;0.887986203427407;1.15241298597564
"2020-08-31";8;81012;0.976895868497198;0.845959112830108;1.10783262416429
"2020-09-01";8;81012;0.946724028233547;0.831905630246742;1.06154242622035
"2020-09-02";8;81012;0.908388367164964;0.78447583292278;1.03230090140715
"2020-09-03";8;81012;0.895945667507448;0.771006739886819;1.02088459512808
"2020-09-04";8;81012;0.854736659444014;0.725912717558691;0.983560601329337
"2020-09-05";8;81012;0.839122711295394;0.706655296809869;0.971590125780918
"2020-09-06";8;81012;0.835753476464362;0.702047755002698;0.969459197926027
"2020-09-07";8;81012;0.83283589931146;0.702296190201934;0.963375608420985
"2020-09-08";8;81012;0.819425154470611;0.690813315536751;0.948036993404471
"2020-09-09";8;81012;0.820363850927404;0.68893942943489;0.951788272419919
"2020-09-10";8;81012;0.823152903092043;0.683311674952397;0.962994131231689
"2020-09-11";8;81012;0.83819741612868;0.694084674400202;0.982310157857158
"2020-09-12";8;81012;0.856514063173858;0.711715787179579;1.00131233916814
"2020-09-13";8;81012;0.8694385212482;0.728356188039749;1.01052085445665
"2020-09-14";8;81012;0.863164611877641;0.730301502373926;0.996027721381356
"2020-09-15";8;81012;0.860865771633916;0.722412909704576;0.999318633563256
"2020-09-16";8;81012;0.856278970600228;0.715262909457889;0.997295031742568
"2020-09-17";8;81012;0.847363252381879;0.699004464765603;0.995722039998155
"2020-09-18";8;81012;0.843485156261407;0.688155776965578;0.998814535557236
"2020-09-19";8;81012;0.867806616276225;0.701493042161608;1.03412019039084
"2020-09-20";8;81012;0.888397348224912;0.713067227485079;1.06372746896475
"2020-09-21";8;81012;0.918379960703161;0.7561960254242;1.08056389598212
"2020-09-22";8;81012;0.956890199123123;0.783995708673576;1.12978468957267
"2020-09-23";8;81012;0.969983897806225;0.797124168910453;1.142843626702
"2020-09-24";8;81012;0.979440641459146;0.806227724396813;1.15265355852148
"2020-09-25";8;81012;0.981178342943352;0.801955681344551;1.16040100454215
"2020-09-26";8;81012;0.94374596612473;0.77741005298614;1.11008187926332
"2020-09-27";8;81012;0.923610020885722;0.763838001929728;1.08338203984172
"2020-09-28";8;81012;0.89092201778805;0.739644940472858;1.04219909510324
"2020-09-29";8;81012;0.857968598063783;0.693882926962548;1.02205426916502
"2020-09-30";8;81012;0.856555891313652;0.678700948079251;1.03441083454805
"2020-10-01";8;81012;0.85178009784849;0.666688343523674;1.03687185217331
"2020-10-02";8;81012;0.856618879452055;0.672425756463198;1.04081200244091
"2020-10-03";8;81012;0.872610447750948;0.694322411115244;1.05089848438665
"2020-10-04";8;81012;0.882346188195144;0.711152655089345;1.05353972130094
"2020-10-05";8;81012;0.89610047663846;0.723080107926776;1.06912084535014
"2020-10-06";8;81012;0.904069602141293;0.714508964577824;1.09363023970476
"2020-10-07";8;81012;0.900025470207972;0.698410471798662;1.10164046861728
"2020-10-08";8;81012;0.926856958575232;0.710706529702209;1.14300738744826
"2020-10-09";8;81012;0.934721878358335;0.699080726887203;1.17036302982947
"2020-10-10";8;81012;0.953082366288027;0.735791635888273;1.17037309668778
"2020-10-11";8;81012;0.96343044367593;0.762120602139227;1.16474028521263
"2020-10-12";8;81012;0.977610417150712;0.784085240585624;1.1711355937158
"2020-10-13";8;81012;1.0057108087913;0.81966827374108;1.19175334384153
"2020-10-14";8;81012;1.03364869410371;0.836330403389717;1.23096698481771
"2020-10-15";8;81012;1.08213507522694;0.866867396300302;1.29740275415358
"2020-10-16";8;81012;1.09805596995931;0.876533006487014;1.31957893343162
"2020-10-17";8;81012;1.10424988914436;0.879939006058352;1.32856077223037
"2020-10-18";8;81012;1.10844967115766;0.878433597219172;1.33846574509614
"2020-10-19";8;81012;1.09791373769185;0.879406115064771;1.31642136031892
"2020-10-20";8;81012;1.10218940086381;0.894506077865198;1.30987272386242
"2020-10-21";8;81012;1.08582433899476;0.891903803356004;1.27974487463352
"2020-10-22";8;81012;1.02586702401766;0.817018165217163;1.23471588281816
"2020-10-23";8;81012;1.00420017069216;0.809736009243127;1.1986643321412
"2020-10-24";8;81012;0.985306778128254;0.789609088065079;1.18100446819143
"2020-10-25";8;81012;0.9791471305729;0.785228201049848;1.17306606009595
"2020-10-26";8;81012;0.979474631960412;0.799117829663871;1.15983143425695
"2020-10-27";8;81012;0.978533011757739;0.799836884909726;1.15722913860575
"2020-10-28";8;81012;0.998231344191991;0.821834870134304;1.17462781824968
"2020-10-29";8;81012;1.03778934363923;0.846271243374925;1.22930744390353
"2020-10-30";8;81012;1.07948824850934;0.887520310885266;1.27145618613342
