Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-02-01,2022-02-08,2022-02-15,2022-02-22,2022-03-01,2022-03-08,2022-03-15,2022-03-22,2022-03-29,2022-04-05,2022-04-12,2022-04-19,2022-04-26
Maule,7.0,San Rafael,7110.0,9959.0,13,2,6,10,6,8,11,8,5,3,2,10,18,13,8,9,13,18,14,12,14,19,25,13,35,46,28,39,15,34,15,30,36,48,72,54,42,36,35,37,16,21,6,4,-,4,3,4,1,1,1,1,-,-,1,3,3,1,-,3,7,-,3,1,3,-,-,13,13,51,63,110,115,153.0,164.0,103.0,61.0,45.0,21.0,18.0,17.0,10
Maule,7.0,Cauquenes,7201.0,44143.0,6,11,17,23,16,10,7,5,4,18,7,15,18,25,18,29,31,52,26,34,34,46,68,119,101,141,89,115,111,103,110,70,88,77,79,103,100,98,87,84,68,42,53,48,34,33,26,35,27,57,53,34,23,12,24,32,26,11,9,29,49,41,33,44,62,28,25,41,61,206,371,437,635,617.0,611.0,429.0,245.0,290.0,115.0,38.0,28.0,20
Maule,7.0,Chanco,7202.0,9331.0,13,4,11,-,5,-,-,-,1,1,7,7,5,1,1,1,-,1,3,3,5,12,7,21,14,17,12,10,13,7,4,3,5,6,14,7,5,20,8,3,3,5,2,-,1,1,2,1,-,3,-,1,-,1,-,1,-,3,3,2,1,1,-,1,1,1,1,-,5,24,61,47,62,86.0,69.0,57.0,57.0,56.0,12.0,7.0,2.0,5
Maule,7.0,Pelluhue,7203.0,8092.0,3,4,2,2,1,1,2,-,1,1,1,2,4,5,9,8,8,6,8,12,9,19,17,11,9,30,6,19,20,22,9,5,7,12,17,45,46,26,34,16,16,3,6,2,1,4,14,10,3,-,-,7,3,2,15,12,7,3,4,2,2,2,-,4,7,12,8,16,21,52,74,106,87,84.0,120.0,69.0,54.0,32.0,20.0,10.0,6.0,7
Maule,7.0,Curico,7301.0,163626.0,92,100,110,95,68,87,69,45,48,97,191,276,386,514,640,502,461,400,264,234,194,230,261,408,540,624,565,787,710,746,600,545,542,443,452,380,307,248,214,122,109,69,38,45,29,21,28,13,11,11,13,32,16,29,37,70,75,87,148,193,192,156,99,-,0,74,91,202,386,889,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Maule,7.0,Hualane,7302.0,10222.0,2,2,-,-,-,-,1,1,1,-,-,8,5,14,5,16,7,11,10,20,9,14,7,8,13,26,39,30,27,25,19,10,21,18,24,11,24,11,17,13,15,3,4,4,7,20,7,1,1,-,-,-,1,1,5,14,11,4,11,21,-,-,9,-,0,3,1,2,7,36,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Maule,7.0,Licanten,7303.0,6989.0,6,1,-,-,-,2,1,-,1,1,6,21,12,3,5,5,11,17,26,21,11,12,6,6,6,9,7,20,27,20,13,17,5,37,29,14,8,4,10,13,9,3,1,10,9,11,10,-,-,-,-,1,-,-,-,-,2,2,3,3,3,2,1,-,0,-,4,5,2,21,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Maule,7.0,Molina,7304.0,49800.0,27,23,23,14,11,8,5,5,5,11,18,41,68,118,157,158,111,87,63,47,45,60,73,71,97,131,193,222,213,222,168,126,109,97,107,85,70,83,63,62,30,7,9,7,14,7,10,5,-,5,3,-,4,2,17,6,3,15,28,29,29,20,10,18,12,22,27,62,128,292,510,509,672,643.0,510.0,379.0,242.0,157.0,79.0,55.0,50.0,26
Maule,7.0,Rauco,7305.0,11248.0,7,12,19,7,2,10,5,6,12,4,5,6,16,29,21,21,32,26,8,7,7,8,18,25,39,56,44,117,50,74,49,35,25,37,40,29,15,15,16,13,4,10,4,-,3,3,2,7,3,-,1,-,-,1,-,3,2,2,9,9,6,21,4,3,3,6,2,9,22,41,65,74,92,118.0,138.0,113.0,66.0,29.0,27.0,13.0,10.0,1
Maule,7.0,Romeral,7306.0,16170.0,6,2,8,9,5,1,2,-,3,6,16,37,40,43,48,40,64,52,35,26,25,46,34,21,41,26,62,65,64,73,94,59,48,46,67,78,30,41,16,17,18,4,1,4,3,2,1,1,4,5,1,10,11,11,10,7,8,7,29,22,19,4,-,6,11,7,2,14,35,105,137,179,186,223.0,138.0,101.0,98.0,57.0,30.0,11.0,17.0,22
Maule,7.0,Sagrada Familia,7307.0,19469.0,3,1,8,3,1,3,6,8,8,5,12,26,32,42,53,60,20,26,29,22,16,17,12,13,21,23,40,51,67,73,78,65,88,67,107,78,49,53,40,10,17,19,11,18,6,2,-,-,1,2,-,-,3,-,3,7,4,5,8,21,10,9,5,-,2,6,4,11,37,68,136,172,216,233.0,245.0,197.0,122.0,60.0,25.0,14.0,17.0,21
Maule,7.0,Teno,7308.0,30850.0,10,17,5,8,2,8,16,11,26,28,20,40,34,50,88,85,48,50,41,19,23,44,31,45,46,75,87,113,114,136,98,76,72,70,77,59,73,71,49,28,24,30,15,16,5,4,2,6,-,-,3,1,4,1,4,9,16,18,12,47,17,21,9,14,4,6,15,7,49,112,147,146,267,393.0,271.0,206.0,146.0,60.0,36.0,32.0,9.0,30
Maule,7.0,Vichuquen,7309.0,4381.0,2,1,1,-,-,-,1,-,-,-,-,4,5,4,5,2,4,43,91,20,10,2,5,9,3,15,10,13,16,5,11,9,2,2,16,14,6,6,4,1,1,1,-,1,10,14,6,-,5,-,-,-,1,1,-,4,5,1,-,7,-,1,-,-,0,-,6,8,7,12,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Maule,7.0,Linares,7401.0,101073.0,22,23,28,27,26,32,26,46,52,24,44,52,54,85,107,129,158,146,149,175,227,218,278,257,284,372,366,489,383,495,378,277,241,172,297,278,253,253,201,146,132,180,60,39,15,10,6,8,8,14,7,13,17,31,75,104,110,86,51,49,28,19,35,25,12,14,23,66,212,496,552,1021,1088,880.0,1172.0,946.0,764.0,483.0,302.0,167.0,72.0,70
Maule,7.0,Colbun,7402.0,22565.0,24,7,20,22,16,7,7,5,11,4,5,11,6,30,15,41,48,31,37,54,48,37,81,54,81,71,74,144,134,107,95,103,48,92,95,79,120,105,82,38,39,28,14,1,4,7,1,4,1,1,1,-,3,5,7,17,14,13,11,12,3,5,-,-,0,6,3,12,56,119,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Maule,7.0,Longavi,7403.0,32810.0,26,25,8,5,-,7,4,7,11,8,8,12,14,9,18,18,32,25,37,49,57,55,63,49,60,74,67,136,173,242,192,154,191,159,147,148,159,124,63,29,24,17,13,9,11,19,20,13,5,4,21,8,8,6,8,23,19,17,22,18,17,14,17,-,0,5,5,13,64,152,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Maule,7.0,Parral,7404.0,44544.0,25,36,30,18,28,48,67,51,62,26,20,27,16,24,49,59,56,77,84,80,79,71,80,61,35,44,79,100,166,213,198,140,162,198,191,214,234,173,138,96,49,41,32,23,15,10,5,2,1,6,16,41,78,71,61,68,72,73,45,41,22,8,9,5,5,4,14,11,28,142,269,459,360,250.0,544.0,380.0,335.0,168.0,133.0,82.0,22.0,23
Maule,7.0,Retiro,7405.0,21071.0,23,12,8,11,10,8,5,9,3,5,5,9,3,8,37,20,16,21,25,23,21,36,28,18,21,19,42,59,78,83,75,67,40,62,88,89,57,70,62,61,47,15,7,3,1,2,7,3,-,2,2,2,2,35,48,90,42,27,16,18,12,5,5,1,1,2,5,9,20,77,177,141,207,185.0,276.0,190.0,161.0,94.0,41.0,54.0,8.0,8
Maule,7.0,San Javier,7406.0,49451.0,26,33,29,50,47,27,32,34,42,48,65,77,68,79,98,89,91,81,72,63,61,45,98,94,134,172,198,224,183,154,158,146,98,151,133,121,97,91,70,37,35,43,19,19,22,16,11,4,4,2,2,8,11,9,16,20,27,24,35,42,43,16,21,11,6,9,18,24,95,203,407,471,506,421.0,573.0,474.0,354.0,236.0,97.0,65.0,47.0,61
Maule,7.0,Villa Alegre,7407.0,17512.0,12,10,16,7,15,11,9,1,10,12,12,33,33,14,34,27,31,27,26,18,13,27,40,31,41,24,51,45,40,40,41,49,43,64,67,67,54,42,24,35,16,20,20,6,3,7,2,1,-,-,-,1,2,5,6,12,17,8,17,12,22,9,5,2,1,11,5,12,31,83,149,177,175,164.0,228.0,167.0,148.0,78.0,47.0,16.0,15.0,14
Maule,7.0,Yerbas Buenas,7408.0,19200.0,3,12,7,6,10,6,19,14,9,1,11,12,17,29,34,35,23,25,33,36,59,44,30,47,43,82,77,97,82,74,45,67,74,109,58,88,69,64,58,33,24,10,11,3,4,6,14,12,6,3,1,11,2,4,10,6,11,9,8,4,6,1,3,4,1,2,3,3,18,72,63,86,103,84.0,172.0,139.0,115.0,56.0,33.0,11.0,3.0,14
Biobio,8.0,Concepcion,8101.0,238092.0,206,164,177,206,166,233,231,304,304,376,399,399,345,454,565,547,502,416,299,359,399,498,673,949,955,899,763,774,697,505,441,320,397,474,567,509,443,440,332,277,212,174,143,120,93,69,53,43,49,28,39,27,26,32,71,115,154,226,375,334,231,230,210,-,0,168,153,344,713,1755,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Biobio,8.0,Coronel,8102.0,125829.0,173,126,108,116,120,108,118,161,145,168,229,258,159,273,338,340,336,289,290,278,350,273,325,493,419,498,423,379,417,331,285,217,233,251,195,227,213,210,222,175,97,108,99,70,67,28,13,4,7,4,11,23,25,23,14,38,37,65,126,166,184,202,205,174,160,133,120,146,271,661,836,833,1157,1444.0,1023.0,792.0,580.0,275.0,159.0,98.0,52.0,50
Biobio,8.0,Chiguayante,8103.0,91180.0,79,75,64,80,70,96,106,123,148,169,125,154,95,105,185,166,171,179,132,143,163,259,301,383,320,328,256,279,214,167,125,127,140,188,191,175,158,160,101,69,72,43,23,28,26,13,13,22,20,19,9,6,7,18,12,52,47,69,146,131,106,65,76,52,75,75,93,108,192,414,802,876,1366,1248.0,944.0,726.0,585.0,349.0,206.0,122.0,87.0,94
Biobio,8.0,Florida,8104.0,11841.0,24,5,4,3,2,4,3,11,9,7,14,14,14,12,17,18,10,23,24,17,19,13,17,34,22,18,25,31,20,18,9,12,11,2,21,18,20,20,34,14,16,6,5,5,3,17,8,3,3,-,1,-,-,-,-,1,5,1,16,13,11,11,6,4,3,6,9,3,6,44,67,63,113,89.0,113.0,75.0,63.0,44.0,36.0,20.0,6.0,7
Biobio,8.0,Hualqui,8105.0,26201.0,12,13,16,21,12,14,15,21,18,16,28,34,34,44,44,46,54,45,40,29,26,64,82,98,81,115,103,110,96,56,50,36,39,67,48,70,61,42,19,14,20,19,22,8,6,8,7,3,1,4,2,10,9,5,18,33,19,19,27,39,38,29,31,21,35,23,14,36,42,77,199,254,314,405.0,353.0,181.0,155.0,120.0,71.0,41.0,31.0,12
Biobio,8.0,Lota,8106.0,45750.0,63,93,86,75,53,75,59,48,79,112,130,108,106,196,194,156,145,153,101,123,131,174,205,234,225,201,188,174,143,117,96,93,70,55,108,107,104,103,71,34,42,30,32,31,22,13,9,5,3,2,3,4,6,11,22,9,10,20,25,27,66,76,49,58,51,67,41,54,91,228,346,292,494,444.0,313.0,255.0,149.0,83.0,39.0,29.0,20.0,10
Biobio,8.0,Penco,8107.0,49865.0,42,30,23,21,18,24,34,38,50,86,67,99,96,98,132,88,120,101,120,85,118,109,160,218,214,216,204,185,116,106,86,112,150,133,160,145,103,87,70,62,52,44,29,29,20,21,47,23,13,9,4,4,3,3,2,19,9,20,24,29,47,30,22,18,17,27,19,21,63,279,473,515,609,686.0,627.0,495.0,322.0,180.0,80.0,81.0,43.0,48
Biobio,8.0,San Pedro de la Paz,8108.0,145906.0,79,81,88,99,94,81,178,183,210,164,143,196,184,193,272,253,236,219,207,239,262,308,337,445,479,504,368,418,359,272,254,205,242,268,300,272,280,227,209,142,121,69,63,43,24,11,15,26,17,13,7,17,28,21,38,40,69,96,137,114,133,140,157,128,85,99,95,154,278,735,971,862,1318,1603.0,1302.0,1058.0,820.0,468.0,359.0,187.0,110.0,83
Biobio,8.0,Santa Juana,8109.0,14779.0,12,9,6,9,9,7,16,8,11,8,7,7,6,9,11,14,16,15,11,11,11,7,16,16,76,100,64,41,50,34,36,46,54,45,89,43,34,38,74,55,23,3,9,8,1,-,1,11,2,-,5,3,1,1,-,3,3,1,4,3,5,13,20,28,14,10,10,8,11,82,110,82,78,116.0,86.0,55.0,35.0,30.0,29.0,4.0,2.0,3
Biobio,8.0,Talcahuano,8110.0,158345.0,132,86,83,95,102,154,236,227,232,266,257,284,258,339,466,438,444,409,291,374,416,433,603,720,740,742,560,597,485,370,274,221,266,220,308,347,319,334,217,191,171,129,125,65,65,51,39,38,52,16,13,16,15,24,28,33,69,103,190,118,146,147,145,160,109,100,75,146,272,793,1403,1551,2019,2127.0,1817.0,1475.0,1092.0,621.0,348.0,215.0,109.0,109
Biobio,8.0,Tome,8111.0,58729.0,59,73,75,69,41,48,51,52,57,51,67,63,65,69,117,116,193,136,120,127,79,106,166,167,172,186,127,121,119,61,71,94,121,104,83,123,123,79,66,77,62,42,23,16,13,1,7,5,6,3,1,8,2,9,17,21,23,-,-,74,118,93,50,-,0,36,25,48,105,433,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Biobio,8.0,Hualpen,8112.0,97273.0,103,53,89,97,91,109,154,182,164,185,178,178,199,293,383,362,311,270,221,285,243,344,452,544,556,535,459,482,330,260,225,181,227,201,252,240,252,237,184,154,116,101,68,68,34,21,31,25,34,24,24,9,11,7,33,35,62,81,127,156,146,154,96,-,0,85,61,87,221,696,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Biobio,8.0,Lebu,8201.0,27100.0,31,16,30,34,22,23,14,16,23,36,31,10,25,33,39,51,65,54,46,53,29,37,62,84,107,61,49,32,45,31,36,21,29,54,76,124,142,91,101,93,34,24,20,14,18,12,8,12,5,1,2,1,3,5,13,24,23,50,65,43,24,8,22,15,11,30,31,19,21,70,201,339,400,581.0,377.0,253.0,193.0,139.0,64.0,28.0,10.0,9
Biobio,8.0,Arauco,8202.0,38679.0,45,33,80,74,48,57,53,41,53,100,103,100,63,89,104,105,90,114,102,89,78,79,104,110,101,134,119,134,148,97,63,47,40,48,65,78,84,74,72,63,54,48,52,27,22,9,14,14,4,4,12,4,2,1,7,6,10,14,38,33,48,20,15,34,28,16,39,38,91,269,435,495,817,848.0,757.0,616.0,382.0,173.0,110.0,67.0,36.0,23
Biobio,8.0,Canete,8203.0,37003.0,35,57,73,29,28,36,42,51,60,55,75,71,85,82,82,96,88,49,61,48,60,76,69,91,169,74,50,66,53,41,38,59,74,79,114,100,104,57,43,42,44,19,14,20,26,12,24,21,11,12,5,7,10,17,34,23,27,10,30,38,40,29,32,-,0,95,78,111,62,142,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Biobio,8.0,Contulmo,8204.0,6330.0,3,4,2,8,2,2,7,5,4,3,5,2,2,3,7,7,3,7,18,6,18,21,20,32,13,8,2,8,34,14,19,20,28,10,11,22,11,2,1,13,35,18,22,20,14,3,5,6,10,4,6,9,4,3,2,2,1,-,4,2,2,-,1,2,2,1,3,2,15,34,51,72,82,104.0,56.0,43.0,65.0,18.0,23.0,6.0,7.0,3
Biobio,8.0,Curanilahue,8205.0,33892.0,63,36,66,30,20,21,30,65,69,74,85,65,92,112,123,120,135,160,145,154,108,117,93,96,75,80,60,75,58,60,41,57,68,53,69,75,84,106,71,38,33,22,17,6,8,6,12,5,4,4,2,8,1,3,10,18,23,18,46,41,27,7,9,17,28,17,32,25,61,162,226,420,502,517.0,478.0,393.0,203.0,145.0,45.0,26.0,7.0,18
Biobio,8.0,Los Alamos,8206.0,22524.0,66,29,37,32,9,9,15,16,15,7,18,16,32,62,43,66,88,70,67,66,48,70,52,51,49,49,35,62,48,42,41,56,89,106,81,61,56,45,47,59,41,25,19,19,16,8,6,7,4,3,-,4,14,4,5,4,14,26,31,33,29,22,18,-,0,19,33,36,50,133,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Biobio,8.0,Tirua,8207.0,11019.0,2,6,12,10,4,2,1,5,5,22,66,102,63,53,39,51,35,10,9,25,19,33,45,54,38,11,13,9,19,33,32,8,39,21,29,25,49,31,54,37,32,27,38,26,14,21,18,5,2,2,1,-,2,-,-,3,1,1,-,2,1,3,2,-,0,13,15,11,19,36,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Biobio,8.0,Los Angeles,8301.0,218515.0,71,85,146,151,164,240,251,185,241,329,328,464,346,268,334,278,300,249,300,395,449,465,557,743,680,826,769,849,870,836,782,637,730,794,879,801,682,454,292,217,161,91,78,52,45,63,56,28,41,54,116,127,89,94,135,112,179,-,-,294,374,288,198,124,75,71,72,149,601,1527,2305,2895,2814,3117.0,2583.0,2101.0,1683.0,914.0,688.0,347.0,171.0,202
Biobio,8.0,Antuco,8302.0,4306.0,3,3,3,-,1,3,2,-,-,1,2,13,8,4,2,1,1,2,7,7,2,3,2,2,6,8,9,16,23,20,9,8,11,13,13,3,12,10,9,6,4,2,-,-,-,1,2,3,1,-,1,-,-,-,1,2,-,4,10,11,2,5,-,3,2,-,-,9,9,23,36,57,93,72.0,47.0,16.0,36.0,17.0,10.0,4.0,7.0,4
Biobio,8.0,Cabrero,8303.0,30725.0,26,43,40,43,42,38,18,14,31,45,43,37,36,30,40,37,63,42,58,46,50,51,45,93,151,164,120,141,85,77,56,50,55,50,63,58,55,54,25,18,33,15,18,8,2,16,4,3,1,2,18,7,2,5,3,2,4,12,7,16,27,11,15,13,9,11,8,34,71,226,353,527,481,452.0,398.0,289.0,180.0,100.0,76.0,39.0,17.0,14
Biobio,8.0,Laja,8304.0,23873.0,15,28,45,16,23,21,6,1,9,24,14,33,45,26,28,57,68,86,73,33,31,43,45,53,69,88,87,99,67,59,39,56,51,42,63,57,61,76,30,26,18,4,7,16,4,2,2,1,2,3,7,26,12,3,6,9,12,7,3,5,13,24,9,-,1,1,6,7,41,111,213,216,214,204.0,152.0,132.0,62.0,32.0,20.0,20.0,14.0,11
Biobio,8.0,Mulchen,8305.0,31041.0,7,22,33,25,28,10,13,20,12,14,16,21,21,65,68,71,64,34,45,40,31,97,74,91,99,140,147,162,113,147,168,153,165,195,158,62,63,49,60,32,19,15,13,4,6,11,20,13,5,7,2,3,1,1,2,2,7,20,29,34,41,45,38,-,0,18,17,28,58,213,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Biobio,8.0,Nacimiento,8306.0,27944.0,11,14,19,15,32,21,25,16,38,32,28,61,59,37,53,65,40,48,21,48,33,28,49,44,55,86,135,137,92,88,99,54,58,69,92,69,59,86,58,53,32,16,9,15,4,9,5,4,1,4,10,10,5,3,1,1,4,7,9,12,13,7,8,8,5,6,2,11,97,195,293,361,275,270.0,255.0,186.0,162.0,93.0,71.0,29.0,16.0,11
Biobio,8.0,Negrete,8307.0,10429.0,5,11,7,2,3,4,19,9,18,17,17,23,9,19,24,43,39,16,11,18,4,10,25,23,23,27,29,45,48,63,64,67,78,51,35,24,28,22,29,19,11,3,4,7,4,-,-,-,-,1,-,1,2,2,3,3,5,1,2,19,7,20,1,-,1,3,1,9,36,84,128,139,130,132.0,127.0,96.0,76.0,33.0,27.0,17.0,9.0,13
Biobio,8.0,Quilaco,8308.0,4179.0,-,9,10,-,-,-,2,-,1,1,4,24,1,5,4,6,2,-,1,-,6,8,3,2,3,7,12,10,11,13,11,6,15,26,10,18,7,5,5,4,3,7,1,-,-,-,-,-,-,-,-,1,2,-,-,1,3,2,13,4,1,1,-,1,-,9,2,2,6,24,43,43,37,39.0,43.0,35.0,26.0,11.0,9.0,6.0,1.0,0
Biobio,8.0,Quilleco,8309.0,10032.0,4,2,5,1,-,3,3,5,6,4,5,18,14,3,12,12,13,12,9,30,31,14,17,59,32,50,43,43,46,14,26,49,43,76,49,28,23,11,8,21,16,4,2,1,2,3,5,3,1,6,-,3,-,1,7,10,9,2,5,7,6,5,-,2,-,-,-,9,22,44,72,111,135,169.0,149.0,102.0,92.0,38.0,20.0,14.0,8.0,12
Biobio,8.0,San Rosendo,8310.0,3611.0,-,7,9,7,5,2,2,-,2,3,7,11,11,11,16,17,10,8,6,-,7,17,5,7,3,5,18,3,10,7,21,9,10,3,5,2,2,8,1,13,4,3,2,1,4,2,8,5,1,-,-,2,8,1,-,-,-,2,-,-,2,-,5,3,-,-,-,-,12,20,37,46,57,48.0,42.0,11.0,18.0,10.0,4.0,10.0,1.0,2
Biobio,8.0,Santa Barbara,8311.0,14592.0,2,4,10,7,13,4,1,-,2,-,11,16,6,19,11,8,21,21,21,26,16,17,21,39,25,43,21,28,50,64,102,96,72,76,78,69,53,16,6,5,9,4,13,2,3,6,1,-,1,2,-,3,5,7,11,8,4,3,1,10,15,33,20,-,0,3,-,4,13,52,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Biobio,8.0,Tucapel,8312.0,15205.0,1,27,19,3,1,5,1,-,1,11,6,5,12,7,9,9,16,12,24,39,27,11,33,78,52,29,28,39,35,30,28,24,15,7,20,34,26,30,18,20,16,9,19,14,18,9,4,2,1,1,1,1,1,-,7,2,3,7,7,6,2,6,2,2,-,9,5,1,26,134,215,258,228,244.0,189.0,133.0,121.0,44.0,35.0,11.0,2.0,3
Biobio,8.0,Yumbel,8313.0,22132.0,17,36,36,34,35,32,25,10,13,34,45,26,20,10,12,7,23,7,6,18,51,30,29,33,40,50,70,56,52,37,18,38,65,52,63,67,51,68,39,21,21,7,8,13,8,7,4,-,-,1,3,3,5,5,2,-,5,6,8,16,19,14,13,13,11,12,3,50,23,99,230,263,314,265.0,188.0,136.0,108.0,80.0,33.0,27.0,20.0,23
Biobio,8.0,Alto Biobio,8314.0,6775.0,1,-,1,-,-,-,-,1,1,7,27,24,5,5,5,4,3,2,5,7,2,1,2,5,1,1,3,23,54,141,83,53,21,31,59,40,20,20,16,15,4,3,1,1,2,1,-,-,-,-,-,-,7,9,6,2,5,5,3,1,1,5,3,-,0,-,-,3,4,17,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
La Araucania,9.0,Temuco,9101.0,302931.0,221,254,308,397,395,470,411,456,321,372,298,355,347,515,731,747,742,627,557,595,594,732,910,1079,1250,1344,1199,1316,1088,1137,956,715,583,503,522,588,538,448,427,322,217,191,175,115,101,56,46,51,41,19,17,19,26,31,66,75,89,152,222,216,224,237,205,240,226,344,524,926,1172,2499,2816,3337,3730,2880.0,2175.0,1797.0,1599.0,1025.0,662.0,360.0,260.0,247
La Araucania,9.0,Carahue,9102.0,25486.0,69,59,33,32,32,15,8,11,32,37,13,12,18,30,35,32,41,26,32,50,35,58,30,44,58,66,67,57,50,98,87,76,55,25,48,63,46,73,41,20,30,16,8,10,9,1,1,11,5,7,3,2,6,-,3,3,2,3,15,6,-,2,7,7,9,11,13,14,38,64,170,288,226,218.0,195.0,169.0,148.0,83.0,29.0,6.0,2.0,1
La Araucania,9.0,Cunco,9103.0,18055.0,6,10,15,19,16,22,10,6,13,9,9,11,12,15,13,9,43,36,30,37,51,60,52,61,80,37,54,80,74,44,16,14,19,27,30,23,46,57,33,6,9,7,6,20,25,1,1,-,1,-,-,2,12,2,1,2,-,1,1,13,16,29,6,5,4,14,13,28,57,118,157,191,176,205.0,157.0,117.0,118.0,85.0,28.0,19.0,26.0,21
La Araucania,9.0,Curarrehue,9104.0,7802.0,4,1,3,1,2,-,3,19,36,16,27,3,7,3,6,6,16,14,4,8,7,9,13,26,29,20,28,33,12,18,47,37,14,13,44,52,45,33,25,25,18,8,11,17,11,6,-,3,8,20,1,2,-,6,2,1,2,1,1,2,3,4,-,-,-,6,6,16,26,67,60,96,78,116.0,99.0,49.0,54.0,23.0,8.0,5.0,0.0,5
La Araucania,9.0,Freire,9105.0,25446.0,8,28,16,40,26,39,12,32,23,13,5,17,26,46,42,47,39,45,30,57,58,83,83,102,115,103,100,96,56,81,63,68,86,45,74,78,104,81,65,28,25,6,10,9,8,-,3,6,1,-,3,2,-,3,1,10,2,3,7,17,20,11,14,8,7,14,22,28,48,98,108,168,181,168.0,144.0,85.0,77.0,57.0,20.0,20.0,8.0,5
La Araucania,9.0,Galvarino,9106.0,12633.0,7,45,46,47,28,5,9,15,13,34,21,24,22,17,46,31,45,36,12,16,23,10,14,42,60,80,69,70,29,43,61,51,82,117,119,88,68,46,47,52,20,7,10,7,4,1,4,3,-,-,-,-,6,1,10,5,-,-,-,-,2,2,-,-,4,3,3,11,28,79,141,141,151,138.0,77.0,62.0,65.0,21.0,8.0,1.0,2.0,1
La Araucania,9.0,Gorbea,9107.0,15148.0,18,8,6,13,31,16,10,2,6,12,13,17,10,17,47,45,34,16,26,36,24,10,14,24,38,38,30,44,44,38,50,41,27,28,29,43,52,30,36,22,38,24,6,4,-,4,1,-,-,1,4,6,-,1,4,2,3,4,3,2,3,-,-,1,3,3,14,52,45,124,137,181,77,153.0,130.0,108.0,83.0,39.0,14.0,12.0,1.0,0
La Araucania,9.0,Lautaro,9108.0,40746.0,20,37,31,35,48,86,46,45,70,100,84,76,89,48,49,83,110,92,110,85,67,50,62,95,103,133,160,203,166,283,223,171,141,126,144,106,84,85,99,89,57,22,20,25,15,6,15,1,3,5,3,-,3,2,13,2,15,15,14,6,10,6,12,12,5,17,31,45,114,273,276,246,315,343.0,291.0,220.0,165.0,98.0,43.0,34.0,13.0,8
La Araucania,9.0,Loncoche,9109.0,24739.0,41,17,9,1,5,1,6,14,6,16,19,18,15,33,57,24,44,43,53,56,59,56,38,52,74,67,33,30,50,48,38,48,73,64,82,48,52,61,55,40,34,18,11,16,11,2,2,4,6,4,2,1,1,3,2,12,7,9,9,4,9,6,13,5,3,18,7,19,46,143,220,211,183,218.0,179.0,185.0,142.0,79.0,39.0,28.0,14.0,17
La Araucania,9.0,Melipeuco,9110.0,6265.0,3,1,2,1,12,11,6,1,1,1,3,2,4,-,2,5,4,12,19,24,12,14,7,14,16,46,15,23,23,19,9,5,4,8,26,22,24,16,17,2,2,12,4,2,4,-,-,-,-,-,1,-,1,1,-,8,1,-,2,1,8,1,-,2,1,3,4,6,15,36,37,30,50,10.0,58.0,29.0,32.0,12.0,8.0,12.0,12.0,18
La Araucania,9.0,Nueva Imperial,9111.0,33777.0,14,37,31,23,29,33,26,20,27,28,25,72,35,37,69,96,94,103,91,102,105,111,95,84,113,123,107,112,96,135,119,113,106,108,128,102,62,53,53,71,61,29,23,16,6,4,2,4,12,6,5,-,5,5,6,7,6,9,9,6,4,7,6,8,9,12,19,29,121,172,220,326,331,295.0,203.0,171.0,130.0,60.0,45.0,15.0,8.0,7
