Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039
Atacama,03,Desconocido Atacama,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,1.0,3.0,2.0,0.0,11.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0
Atacama,03,Total,,314709.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,3.0,8.0,9.0,25.0,47.0,53.0,24.0,37.0,86.0,169.0,216.0,261.0,239.0,297.0,324.0,393.0,637.0,792.0,843.0,630.0,452.0,361.0,327.0,309.0,270.0,34.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,3.0,7.0,6.0,0.0,5.0,7.0,4.0,3.0,3.0,2.0,5.0,5.0,10.0,16.0,15.0,26.0,20.0,12.0,3.0
Coquimbo,04,Canela,04202,9546.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,5.0,0.0,4.0,3.0,2.0,11.0,19.0,11.0,9.0,5.0,2.0,8.0,1.0
Coquimbo,04,Combarbala,04302,13884.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,5.0,3.0,2.0,7.0,0.0,1.0,3.0,0.0,1.0,4.0,6.0,9.0,10.0,9.0,3.0,3.0,3.0,0.0
Coquimbo,04,Coquimbo,04102,256735.0,0,0.0,0.0,0.0,4.0,13.0,3.0,2.0,1.0,6.0,7.0,21.0,84.0,87.0,70.0,150.0,144.0,157.0,181.0,240.0,234.0,340.0,361.0,351.0,336.0,335.0,342.0,342.0,287.0,212.0,176.0,78.0,14.0
Coquimbo,04,Illapel,04201,32801.0,0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,1.0,0.0,1.0,0.0,1.0,5.0,21.0,14.0,18.0,20.0,41.0,43.0,63.0,9.0,23.0,49.0,19.0,32.0,21.0,12.0,24.0,14.0,7.0,5.0
Coquimbo,04,La Higuera,04104,4450.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,9.0,27.0,9.0,17.0,19.0,3.0,5.0,1.0,2.0,2.0,0.0,0.0
Coquimbo,04,La Serena,04101,249656.0,0,0.0,0.0,1.0,0.0,3.0,7.0,4.0,2.0,3.0,6.0,16.0,51.0,49.0,75.0,112.0,115.0,136.0,197.0,187.0,225.0,271.0,273.0,334.0,337.0,292.0,174.0,235.0,180.0,200.0,124.0,50.0,8.0
Coquimbo,04,Los Vilos,04203,23374.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,6.0,6.0,12.0,26.0,11.0,12.0,17.0,21.0,18.0,25.0,30.0,25.0,15.0,28.0,19.0,9.0,7.0
Coquimbo,04,Monte Patria,04303,32527.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,19.0,25.0,27.0,24.0,45.0,22.0,30.0,24.0,14.0,13.0,10.0,22.0,24.0,49.0,43.0,37.0,27.0,21.0,12.0,0.0
Coquimbo,04,Ovalle,04301,121269.0,0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,5.0,1.0,14.0,33.0,48.0,58.0,114.0,171.0,180.0,152.0,135.0,90.0,82.0,58.0,81.0,114.0,192.0,224.0,247.0,209.0,166.0,122.0,47.0,28.0
Coquimbo,04,Paiguano,04105,4675.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,3.0,4.0,0.0,2.0,2.0,7.0,0.0
Coquimbo,04,Punitaqui,04304,12165.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,4.0,16.0,2.0,7.0,5.0,7.0,5.0,13.0,15.0,5.0,4.0,13.0,18.0,17.0,18.0,14.0,13.0,4.0,0.0
Coquimbo,04,Rio Hurtado,04305,4372.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,6.0,1.0,0.0,0.0,5.0,1.0,3.0,3.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,0.0,0.0
Coquimbo,04,Salamanca,04204,29110.0,0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,5.0,15.0,14.0,3.0,6.0,4.0,7.0,11.0,18.0,39.0,24.0,7.0,13.0,11.0,12.0,14.0,8.0,3.0,1.0
Coquimbo,04,Vicuna,04106,29741.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,3.0,5.0,4.0,7.0,2.0,1.0,8.0,11.0,33.0,33.0,21.0,14.0,17.0,15.0,20.0,22.0,37.0,22.0,12.0,4.0
Coquimbo,04,Desconocido Coquimbo,,,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,3.0,10.0,8.0,9.0,17.0,11.0,16.0,10.0,18.0,12.0,2.0,8.0,4.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0
Coquimbo,04,Total,,836096.0,0.0,0.0,0.0,2.0,7.0,22.0,20.0,19.0,14.0,18.0,17.0,68.0,199.0,222.0,270.0,493.0,526.0,576.0,620.0,707.0,681.0,875.0,846.0,907.0,957.0,975.0,948.0,1008.0,827.0,763.0,553.0,254.0,72.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174.0,0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,6.0,13.0,10.0,7.0,19.0,21.0,6.0,7.0,2.0,4.0,2.0,0.0,0.0,4.0,1.0,11.0,10.0,10.0,2.0,3.0,1.0
Valparaiso,05,Cabildo,05402,20663.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,7.0,7.0,17.0,20.0,40.0,50.0,61.0,40.0,45.0,22.0,11.0,4.0,9.0,19.0,20.0,26.0,27.0,17.0,9.0,3.0
Valparaiso,05,Calera,05502,53591.0,0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,4.0,7.0,2.0,2.0,7.0,19.0,22.0,21.0,52.0,60.0,88.0,88.0,100.0,101.0,106.0,95.0,85.0,147.0,95.0,72.0,100.0,82.0,34.0,30.0,5.0
Valparaiso,05,Calle Larga,05302,16482.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,3.0,8.0,29.0,26.0,27.0,24.0,23.0,41.0,20.0,9.0,8.0,12.0,17.0,7.0,29.0,0.0,10.0,8.0,8.0,6.0,1.0
Valparaiso,05,Cartagena,05603,25357.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,5.0,12.0,7.0,17.0,11.0,19.0,20.0,20.0,15.0,18.0,9.0,15.0,14.0,8.0,5.0,10.0,14.0,6.0,16.0,13.0,10.0,1.0
Valparaiso,05,Casablanca,05102,29170.0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,9.0,9.0,14.0,24.0,27.0,18.0,26.0,28.0,26.0,31.0,35.0,56.0,62.0,35.0,17.0,22.0,11.0,26.0,4.0,3.0
Valparaiso,05,Catemu,05702,15213.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,14.0,15.0,14.0,4.0,19.0,8.0,13.0,8.0,15.0,23.0,29.0,16.0,27.0,37.0,20.0,12.0,4.0,1.0
Valparaiso,05,Concon,05103,45889.0,0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,10.0,6.0,9.0,16.0,19.0,27.0,53.0,45.0,53.0,83.0,76.0,57.0,35.0,15.0,21.0,24.0,28.0,32.0,21.0,37.0,32.0,10.0,3.0
Valparaiso,05,El Quisco,05604,17742.0,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,5.0,9.0,14.0,15.0,15.0,19.0,11.0,8.0,12.0,23.0,9.0,11.0,8.0,5.0,13.0,14.0,7.0,13.0,39.0,23.0,10.0,1.0
Valparaiso,05,El Tabo,05605,14338.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,3.0,4.0,7.0,6.0,16.0,26.0,20.0,20.0,23.0,34.0,19.0,9.0,9.0,27.0,17.0,6.0,4.0,3.0,6.0,18.0,7.0,5.0,1.0
Valparaiso,05,Hijuelas,05503,19099.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,10.0,14.0,14.0,11.0,20.0,23.0,20.0,30.0,27.0,24.0,29.0,31.0,21.0,18.0,18.0,13.0,15.0,2.0,0.0
Valparaiso,05,Isla de Pascua,05201,8277.0,0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
Valparaiso,05,Juan Fernandez,05104,1033.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Valparaiso,05,La Cruz,05504,25321.0,0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,8.0,7.0,4.0,5.0,14.0,16.0,11.0,14.0,25.0,17.0,23.0,30.0,39.0,22.0,17.0,22.0,19.0,17.0,24.0,27.0,4.0,1.0
Valparaiso,05,La Ligua,05401,37739.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,9.0,18.0,27.0,34.0,51.0,32.0,44.0,48.0,51.0,55.0,66.0,50.0,57.0,61.0,83.0,59.0,39.0,35.0,16.0,7.0
Valparaiso,05,Limache,05802,49931.0,0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,9.0,7.0,1.0,7.0,24.0,33.0,25.0,36.0,87.0,100.0,104.0,89.0,95.0,62.0,58.0,47.0,48.0,91.0,52.0,68.0,59.0,42.0,23.0,16.0,9.0
Valparaiso,05,Llaillay,05703,26533.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,29.0,23.0,26.0,33.0,22.0,34.0,28.0,31.0,49.0,21.0,24.0,24.0,31.0,5.0,23.0,34.0,32.0,16.0,12.0,3.0
Valparaiso,05,Los Andes,05301,68093.0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,2.0,9.0,21.0,57.0,85.0,94.0,135.0,112.0,111.0,99.0,88.0,66.0,68.0,54.0,26.0,34.0,10.0,21.0,36.0,44.0,31.0,31.0,8.0
Valparaiso,05,Nogales,05506,23490.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,6.0,7.0,9.0,16.0,20.0,16.0,21.0,21.0,41.0,37.0,26.0,42.0,37.0,58.0,40.0,22.0,26.0,2.0,2.0
