Region,Codigo region,Comuna,Codigo comuna,Poblacion,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112
Coquimbo,04,Andacollo,04103,11791.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,3.0,6.0,6.0,1.0,5.0,7.0,3.0,3.0,3.0,2.0,5.0,5.0,10.0,16.0,15.0,22.0,21.0,14.0,12.0,11.0,6.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,2.0,6.0,14.0,19.0,19.0,17.0,23.0,16.0,14.0,9.0,3.0
Coquimbo,04,Canela,04202,9546.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,6.0,5.0,0.0,4.0,3.0,2.0,10.0,19.0,11.0,7.0,4.0,4.0,7.0,8.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,6.0,8.0,16.0,18.0,4.0,19.0,19.0,9.0,7.0,6.0,8.0,6.0,1.0
Coquimbo,04,Combarbala,04302,13884.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,5.0,2.0,2.0,7.0,0.0,1.0,3.0,0.0,1.0,3.0,5.0,6.0,6.0,7.0,1.0,4.0,2.0,4.0,1.0,2.0,5.0,2.0,0.0,0.0,2.0,2.0,19.0,4.0,3.0,6.0,1.0,4.0,6.0,7.0,4.0,3.0,11.0,18.0,18.0,12.0,14.0,27.0,21.0,0.0
Coquimbo,04,Coquimbo,04102,256735.0,0,0.0,0.0,0.0,4.0,13.0,3.0,2.0,1.0,6.0,7.0,16.0,79.0,82.0,62.0,136.0,132.0,149.0,166.0,230.0,228.0,322.0,354.0,345.0,318.0,316.0,312.0,315.0,262.0,188.0,164.0,86.0,98.0,78.0,69.0,37.0,39.0,21.0,20.0,24.0,32.0,44.0,44.0,49.0,70.0,78.0,118.0,153.0,240.0,282.0,307.0,272.0,266.0,330.0,387.0,408.0,396.0,298.0,42.0
Coquimbo,04,Illapel,04201,32801.0,0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,1.0,0.0,1.0,0.0,1.0,5.0,19.0,14.0,17.0,20.0,40.0,43.0,63.0,9.0,22.0,48.0,19.0,25.0,18.0,10.0,17.0,22.0,8.0,29.0,16.0,6.0,6.0,4.0,2.0,1.0,0.0,1.0,4.0,1.0,2.0,7.0,2.0,2.0,10.0,21.0,33.0,24.0,31.0,42.0,43.0,35.0,41.0,52.0,78.0,6.0
Coquimbo,04,La Higuera,04104,4450.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,9.0,27.0,9.0,17.0,18.0,3.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,3.0,0.0,6.0,6.0,9.0,4.0,0.0,12.0,14.0,16.0,2.0
Coquimbo,04,La Serena,04101,249656.0,0,0.0,0.0,1.0,0.0,3.0,7.0,4.0,2.0,3.0,6.0,14.0,51.0,47.0,66.0,96.0,110.0,124.0,180.0,156.0,190.0,238.0,266.0,325.0,294.0,223.0,129.0,194.0,155.0,159.0,92.0,51.0,55.0,66.0,48.0,36.0,37.0,30.0,23.0,12.0,38.0,25.0,50.0,53.0,56.0,81.0,101.0,136.0,215.0,257.0,308.0,402.0,316.0,358.0,424.0,465.0,508.0,423.0,59.0
Coquimbo,04,Los Vilos,04203,23374.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,6.0,5.0,12.0,25.0,10.0,12.0,17.0,19.0,18.0,25.0,29.0,25.0,15.0,27.0,20.0,13.0,16.0,7.0,8.0,2.0,3.0,3.0,1.0,0.0,0.0,5.0,4.0,4.0,8.0,8.0,25.0,45.0,44.0,53.0,46.0,32.0,39.0,30.0,42.0,45.0,40.0,78.0,13.0
Coquimbo,04,Monte Patria,04303,32527.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,18.0,25.0,25.0,23.0,39.0,20.0,25.0,23.0,11.0,13.0,10.0,21.0,21.0,45.0,37.0,33.0,21.0,13.0,13.0,16.0,7.0,6.0,4.0,11.0,2.0,3.0,6.0,5.0,7.0,13.0,20.0,19.0,19.0,33.0,26.0,21.0,14.0,30.0,23.0,18.0,23.0,31.0,49.0,78.0,38.0,8.0
Coquimbo,04,Ovalle,04301,121269.0,0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,5.0,1.0,13.0,26.0,44.0,55.0,105.0,153.0,148.0,106.0,84.0,56.0,57.0,53.0,75.0,90.0,152.0,165.0,183.0,135.0,98.0,98.0,59.0,64.0,26.0,21.0,24.0,7.0,13.0,14.0,34.0,47.0,71.0,99.0,94.0,108.0,69.0,81.0,106.0,86.0,98.0,85.0,123.0,109.0,103.0,173.0,178.0,171.0,161.0,34.0
