date,comuna,region,IM_interno,IM_externo,IM
20210103,Pirque,R13,4.703568953568953,3.507276507276507,8.21084546084546
20210104,Pirque,R13,4.9592862092862084,4.749133749133749,9.708419958419961
20210105,Pirque,R13,4.781358281358282,4.800242550242551,9.581600831600833
20210106,Pirque,R13,4.723146223146223,4.515072765072765,9.238218988218991
20210107,Pirque,R13,4.798683298683299,4.614345114345116,9.413028413028414
20210108,Pirque,R13,5.370235620235619,5.136001386001387,10.506237006237006
20210109,Pirque,R13,3.974012474012474,3.5275467775467773,7.501559251559252
20210110,Pirque,R13,0.0,0.0,0.0
20210111,Pirque,R13,4.705301455301456,4.623180873180873,9.328482328482329
20210112,Pirque,R13,4.5478170478170465,4.398648648648648,8.946465696465697
20210113,Pirque,R13,4.613998613998613,4.493762993762995,9.107761607761606
20210114,Pirque,R13,4.586625086625086,4.63963963963964,9.226264726264727
20210115,Pirque,R13,5.016978516978517,5.018364518364519,10.035343035343036
20210116,Pirque,R13,4.885654885654887,4.266805266805267,9.152460152460154
20210117,Pirque,R13,4.492376992376992,3.606202356202356,8.09857934857935
20210118,Pirque,R13,4.6337491337491326,4.515592515592515,9.149341649341649
20210119,Pirque,R13,4.585065835065835,4.661988911988912,9.247054747054749
20210120,Pirque,R13,4.625779625779626,4.6105336105336105,9.236313236313237
20210121,Pirque,R13,4.708593208593209,4.781531531531531,9.49012474012474
20210122,Pirque,R13,4.945599445599446,4.904885654885655,9.850485100485102
20210123,Pirque,R13,4.913894663894664,4.128378378378379,9.042273042273044
20210124,Pirque,R13,4.481115731115732,3.7208939708939712,8.202009702009702
20210125,Pirque,R13,4.645356895356897,4.642238392238392,9.287595287595288
20210126,Pirque,R13,4.983021483021483,5.108801108801108,10.091822591822591
20210127,Pirque,R13,5.110706860706862,4.931739431739431,10.042446292446293
20210128,Pirque,R13,4.771136521136522,4.880977130977131,9.652113652113652
20210129,Pirque,R13,5.056652806652807,4.933645183645184,9.99029799029799
20210130,Pirque,R13,4.656444906444906,4.756237006237005,9.412681912681911
20210131,Pirque,R13,0.0,0.0,0.0
20210201,Pirque,R13,4.713097713097713,4.584199584199585,9.297297297297296
20210202,Pirque,R13,4.52997227997228,4.713790713790714,9.243762993762994
20210203,Pirque,R13,3.915280665280665,4.083679833679834,7.998960498960499
20210204,Pirque,R13,0.0,0.0,0.0
20210205,Pirque,R13,4.4624047124047115,4.9464656964656974,9.40887040887041
20210206,Pirque,R13,3.6786209286209286,3.542273042273042,7.220893970893972
20210207,Pirque,R13,0.0,0.0,0.0
20210208,Pirque,R13,0.0,0.0,0.0
20210209,Pirque,R13,4.363652113652114,4.786729036729037,9.15038115038115
20210210,Pirque,R13,4.46032571032571,5.999133749133749,10.459459459459461
20210211,Pirque,R13,4.331254331254331,4.876819126819127,9.208073458073457
20210212,Pirque,R13,4.3423423423423415,5.155232155232155,9.497574497574496
20210213,Pirque,R13,4.021309771309771,4.214830214830215,8.236139986139985
20210214,Pirque,R13,3.891891891891892,3.5757103257103258,7.467602217602217
20210215,Pirque,R13,4.358801108801108,4.598925848925847,8.957726957726956
20210216,Pirque,R13,4.219334719334721,4.555959805959804,8.775294525294525
20210217,Pirque,R13,4.318260568260569,4.47955647955648,8.797817047817047
20210218,Pirque,R13,4.227823977823978,4.4282744282744275,8.656098406098408
20210219,Pirque,R13,4.6053361053361055,4.544698544698544,9.15003465003465
20210220,Pirque,R13,4.069473319473319,3.671517671517672,7.7409909909909915
20210221,Pirque,R13,3.9818087318087323,3.2726957726957733,7.254504504504506
20210222,Pirque,R13,4.32986832986833,4.363305613305614,8.693173943173942
20210223,Pirque,R13,4.387560637560639,4.227823977823977,8.615384615384615
20210224,Pirque,R13,4.546084546084546,4.233887733887734,8.77997227997228
20210225,Pirque,R13,4.625086625086626,4.26940401940402,8.894490644490645
20210226,Pirque,R13,4.6999306999307,4.452356202356203,9.152286902286903
20210227,Pirque,R13,4.178620928620928,3.653672903672904,7.832293832293832
20210228,Pirque,R13,4.041233541233542,3.237006237006237,7.278239778239778
20210301,Pirque,R13,4.231462231462231,4.346153846153847,8.577616077616078
20210302,Pirque,R13,4.2875952875952885,4.357068607068607,8.644663894663895
20210303,Pirque,R13,4.466735966735967,4.264553014553013,8.73128898128898
20210304,Pirque,R13,4.508662508662509,4.451143451143452,8.95980595980596
20210305,Pirque,R13,4.785516285516286,4.597713097713098,9.383229383229382
20210306,Pirque,R13,4.132016632016632,3.306826056826057,7.438842688842689
20210307,Pirque,R13,3.799203049203049,2.9175329175329177,6.716735966735968
20210308,Pirque,R13,5.178620928620928,4.315142065142065,9.493762993762994
20210309,Pirque,R13,4.9215176715176705,4.208766458766458,9.13028413028413
20210310,Pirque,R13,5.044352044352045,4.267151767151767,9.311503811503812
20210311,Pirque,R13,5.065315315315316,4.227130977130978,9.292446292446293
20210312,Pirque,R13,5.570686070686071,4.576576576576576,10.147262647262648
20210313,Pirque,R13,4.672210672210672,3.2292099792099784,7.9014206514206515
20210314,Pirque,R13,4.253465003465004,2.701316701316701,6.9547817047817055
20210315,Pirque,R13,4.87993762993763,4.097713097713098,8.977650727650728
20210316,Pirque,R13,4.655232155232155,4.01957726957727,8.674809424809425
20210317,Pirque,R13,4.846153846153847,4.076576576576576,8.922730422730423
20210318,Pirque,R13,4.760741510741512,4.086625086625086,8.847366597366598
20210319,Pirque,R13,5.07986832986833,4.461018711018712,9.540887040887043
20210320,Pirque,R13,4.308385308385309,3.1995841995842,7.507969507969508
20210321,Pirque,R13,3.918399168399168,2.518711018711019,6.437110187110188
20210322,Pirque,R13,4.7181219681219675,4.077269577269576,8.795391545391546
20210323,Pirque,R13,4.650381150381151,4.17013167013167,8.820512820512821
20210324,Pirque,R13,4.771656271656271,4.3605336105336105,9.132189882189882
20210325,Pirque,R13,4.022695772695773,3.2808385308385306,7.3035343035343026
20210326,Pirque,R13,4.274428274428274,3.4911642411642414,7.765592515592514
20210327,Pirque,R13,3.3516978516978515,2.2072072072072078,5.558905058905059
20210328,Pirque,R13,3.16961191961192,1.9982674982674984,5.1678794178794165
20201214,Providencia,R13,12.295487476712895,11.81370316704616,24.109190643759057
20201215,Providencia,R13,12.633409232043054,12.088672117574001,24.722081349617056
20201216,Providencia,R13,13.147924860277376,12.375491616642515,25.523416476919888
20201217,Providencia,R13,13.402013040778305,12.855438832539845,26.257451873318157
20201218,Providencia,R13,14.179440074518736,13.671315462637134,27.850755537155873
20201219,Providencia,R13,5.6978886358931895,5.084661560753467,10.782550196646657
20201220,Providencia,R13,4.7854222728213625,3.955651003932933,8.741073276754296
20201221,Providencia,R13,13.945922169323122,13.017103084247568,26.96302525357069
20201222,Providencia,R13,13.65245290830056,13.071905402608154,26.724358310908713
20201223,Providencia,R13,13.349487683709375,13.024115090043471,26.37360277375285
20201224,Providencia,R13,9.675481266818462,9.923204305526806,19.598685572345268
20201225,Providencia,R13,4.402711653901884,4.776702546056717,9.1794141999586
20201226,Providencia,R13,4.920125232871041,4.324130614779548,9.244255847650587
20201227,Providencia,R13,4.528669012626787,3.864365555785552,8.393034568412338
20201228,Providencia,R13,12.221123990892155,12.053689712274892,24.27481370316705
20201229,Providencia,R13,12.074078865659285,11.947500517491205,24.02157938315049
20201230,Providencia,R13,12.009418339888224,11.767517077209687,23.776935417097913
20201231,Providencia,R13,9.083885323949492,8.927163113227074,18.01104843717657
20210101,Providencia,R13,4.278384392465328,4.2599099565307394,8.538294348996066
20210102,Providencia,R13,4.626241978886358,3.993738356447941,8.619980335334299
20210103,Providencia,R13,4.465483336783276,3.7498706271993374,8.215353963982611
20210104,Providencia,R13,11.505873525150072,11.100289795073486,22.606163320223555
20210105,Providencia,R13,11.646010142827572,11.351376526599047,22.997386669426614
20210106,Providencia,R13,11.741616642517073,11.561089836472778,23.302706478989855
20210107,Providencia,R13,11.767206582488098,11.63972262471538,23.40692920720348
20210108,Providencia,R13,13.496455185261853,12.659180293935002,26.155635479196853
20210109,Providencia,R13,4.34617574001242,4.198949492858621,8.54512523287104
20210110,Providencia,R13,0.0,0.0,0.0
20210111,Providencia,R13,11.289329331401365,11.176283378182573,22.465612709583937
20210112,Providencia,R13,11.231499689505279,11.234604636721174,22.466104326226453
20210113,Providencia,R13,11.305112813082175,11.293469261022564,22.598582074104737
20210114,Providencia,R13,11.103317118608985,11.296393086317533,22.39971020492652
20210115,Providencia,R13,11.634495963568618,11.783559304491826,23.418055268060442
20210116,Providencia,R13,5.27266611467605,4.708109087145519,9.980775201821569
20210117,Providencia,R13,4.366073276754294,3.7196232664044713,8.085696543158766
20210118,Providencia,R13,10.91991823638998,10.842760298074932,21.76267853446491
20210119,Providencia,R13,11.013014903746637,10.938056303042847,21.95107120678949
20210120,Providencia,R13,11.203891533843924,10.987424963775618,22.19131649761954
20210121,Providencia,R13,10.978161871248188,11.06445352929,22.042615400538192
20210122,Providencia,R13,11.390188366797767,11.538449596356866,22.92863796315463
20210123,Providencia,R13,5.3522821362036845,4.760142827571931,10.112424963775617
20210124,Providencia,R13,4.370006209894432,3.725936659076796,8.095942868971228
20210125,Providencia,R13,10.787078244669841,10.665726557648519,21.452804802318358
20210126,Providencia,R13,10.871739805423307,10.809485613744569,21.681225419167877
20210127,Providencia,R13,10.978032498447526,10.96628544814738,21.944317946594907
20210128,Providencia,R13,10.932363899813701,10.924808528255019,21.85717242806872
20210129,Providencia,R13,11.351738770440905,11.273261229559095,22.625
20210130,Providencia,R13,5.589111985096253,4.714060235975989,10.30317222107224
20210131,Providencia,R13,0.0,0.0,0.0
20210201,Providencia,R13,10.657420823845994,10.038139101635274,20.695559925481266
20210202,Providencia,R13,10.745834195818672,10.297557441523496,21.043391637342168
20210203,Providencia,R13,9.599177188987786,9.458730076588695,19.05790726557648
20210204,Providencia,R13,0.0,0.0,0.0
20210205,Providencia,R13,10.92356654936866,10.845140757607119,21.76870730697578
20210206,Providencia,R13,6.619721589732975,6.164070585800041,12.783792175533016
20210207,Providencia,R13,0.0,0.0,0.0
20210208,Providencia,R13,0.0,0.0,0.0
20210209,Providencia,R13,10.333367832746845,10.055009314841648,20.388377147588493
20210210,Providencia,R13,10.268784930656178,10.112554336576276,20.381339267232455
20210211,Providencia,R13,10.24184951355827,10.155195611674602,20.39704512523287
20210212,Providencia,R13,10.762575036224382,10.605775201821569,21.368350238045952
20210213,Providencia,R13,7.500879735044505,7.261410681018423,14.762290416062926
20210214,Providencia,R13,6.2420823845994615,6.172453943282965,12.414536327882425
20210215,Providencia,R13,9.979817843096667,9.730335334299316,19.710153177395984
20210216,Providencia,R13,10.094545642724071,9.970037259366592,20.064582902090663
20210217,Providencia,R13,9.979921341337198,9.989701925067273,19.96962326640447
20210218,Providencia,R13,9.88679879942041,10.055319809563237,19.942118608983648
20210219,Providencia,R13,10.408585179051958,10.615685158352306,21.024270337404264
20210220,Providencia,R13,7.092889670875596,7.195094183398884,14.287983854274481
20210221,Providencia,R13,5.70937694059201,5.704538397847237,11.413915338439248
20210222,Providencia,R13,10.091026702546056,10.13951562823432,20.230542330780374
20210223,Providencia,R13,10.280945973918444,10.373188780790727,20.654134754709172
20210224,Providencia,R13,10.448820120057961,10.57247464293107,21.021294762989033
20210225,Providencia,R13,10.763532394949284,10.916088801490377,21.679621196439662
20210226,Providencia,R13,11.620653073897744,11.627380459532187,23.24803353342993
20210227,Providencia,R13,8.150667563651417,8.008435106603187,16.159102670254605
20210228,Providencia,R13,6.634599461809149,6.327494307596772,12.96209376940592
